"Funding OrgName","Project Reference","ProjectCategory","Outcome Type","LeadRO Name","Department","PI Surname","PI First Name","PI Orcid iD","Outcome Title","Description","Type of Art","Year Produced","Impact","Url","GTR OutcomeId","GTR Outcome URL","GTRProjectUrl","ProjectId","FundingOrgId","LeadROId","PIId"
"NERC","pml010009","Other Grant","Artistic and Creative Products","Plymouth Marine Laboratory",,"Allen","Icarus","","Video for World Bank on Ocean Acidification","'Turn down the Heat' is an educational video created for World Bank on Ocean Acidification for their first Massive Open Online Course (MOOC) on climate change, talking about the different aspects of ocean acidification and what the scientific community is doing about it.","Film/Video/Animation","2014","Dr Carol Turley provided expert knowledge and information about ocean acidification for this video, which presents recent scientific evidence as well as some of the opportunities for urgent action on climate change. It was offered in two tracks: (1) General Public and (2) Policy Makers and Practitioners. The course would have helped to increase knowledge and understanding in this field, educating both the public and policy makers through this free of charge video.","https://www.youtube.com/watch?v=E39PMzDBtrU","54636affae09e0.02120651","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/resources/outcome.html#?type=artisticandcreativeproduct&outcomeId=54636affae09e0.02120651&grantRef=pml010009","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=pml010009","948A5562-6BE1-48FE-B392-64D39C010339","8A03ED41-E67D-4F4A-B5DD-AAFB272B6471","EEF9EA95-341D-48C2-8A68-B838D35497C8","7300F58C-5309-42D5-A146-F806C5FA7814"
"AHRC","AH/P009719/1","Research Grant","Artistic and Creative Products","University College London","Institute of Archaeology","Harrison","Rodney","http://orcid.org/0000-0002-5030-0525","Reimagining Museums for Climate Action","Exhibition at Glasgow Science Centre held before and during COP26 (June - November 2021). The exhibition displayed eight concepts emerging from an international design competition exploring the future of museums in the climate change era.","Artistic/Creative Exhibition","2021","Estimated 120,000 visitors, including young people, families, and - as part of COP26 - policy makers from around the world. Also featured on Google Arts &amp; Culture virtual COP26 site, therefore reaching audiences around the world. 

The competition itself received over 250 submissions from 48 countries.","http://www.museumsforclimateaction.org","6200f090072db7.88749792","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/resources/outcome.html#?type=artisticandcreativeproduct&outcomeId=6200f090072db7.88749792&grantRef=AH%2FP009719%2F1","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=AH/P009719/1","0BD4B9A3-B466-4373-AC2D-51C6E4E09305","1291772D-DFCE-493A-AEE7-24F7EEAFE0E9","3A5E126D-C175-4730-9B7B-E6D8CF447F83","F9FBF8C2-9792-421D-807A-511148E44140"
"NERC","NE/S008950/1","Research Grant","Artistic and Creative Products","University of Strathclyde","Law","Morgera","Elisa","","Cold water corals in a changing ocean: Short Film","As a contribution to the Climate Conference, scientists at University of Edinburgh have produced a short film explaining how cold-water corals are particularly vulnerable to the rapid acidification of the oceans caused by carbon dioxide emissions - a largely hidden impact of fossil fuel use.

Narrated by the COP26 People's Advocate Sir David Attenborough, this video features research from the H2020 iAtlantic (Grant Agreement No 818123) and One Ocean Hub projects. The film highlights the central role of the ocean when considering climate change impacts and mitigation.","Film/Video/Animation","2021","The new film premiered at a special evening event hosted by iAtlantic at Dynamic Earth in Edinburgh on Saturday 6 November 2021, which highlighted the crucial role that the ocean plays in the climate crisis. It was also shown during a Poster Exhibitition hosted by the One Ocean Hub at COP26 Green Zone, Glasgow Science Centre on 12th November 2021.","https://www.youtube.com/watch?v=s4iPY-9mGVg","620277bbce08a7.53152886","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/resources/outcome.html#?type=artisticandcreativeproduct&outcomeId=620277bbce08a7.53152886&grantRef=NE%2FS008950%2F1","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=NE/S008950/1","80E9F662-4CE4-4727-8362-9DBFFC23294D","8A03ED41-E67D-4F4A-B5DD-AAFB272B6471","5BB4F8BF-B4E0-4EAF-9AF5-885E19D64850","8100DA17-E142-4073-9536-FAE41FB791FB"
"ESRC","ES/N005945/2","Research Grant","Artistic and Creative Products","University of Sheffield","Urban Institute","Perry","Beth","","""Carbon Coop Energy Futures: People Powered not Fossil Fuelled"" (Video animation)","This 6.5 minute video provides an animated account of how the infrastructure of energy provision (primarily electricity) has evolved, demonstrating the potential for changing its structure. (Narrated by Laura Williams, member of the Action Research Collective, ARC lead for The People's Republic of Energy action research project, and a member of staff at Carbon Coop.)","Film/Video/Animation","2019","Produced ahead of the 2019 Green Summit, this short animation (embedded at the bottom of the linked webpage) is provided as a supplement to the GM Energy Futures prospectus (a direct output of the associated ARC project). It translates research from the mapping and walk exercises undertaken as part of the action research into something that can be absorbed by members of the general public.","https://carbon.coop/2019/01/green-summit-2019-what-will-greater-manchesters-energy-future-look-like/","5c7efe4e4b8f42.66697120","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/resources/outcome.html#?type=artisticandcreativeproduct&outcomeId=5c7efe4e4b8f42.66697120&grantRef=ES%2FN005945%2F2","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=ES/N005945/2","2E8492D4-F10D-4D45-A068-5399782B9A1C","924BE15C-91F2-4AAD-941A-3F338324B6AE","03D8AFBB-3EA5-4885-B036-BD4F9F4F9849","7F9EE71B-6F87-4761-8EA3-AFECF377EEAF"
"AHRC","AH/S00436X/1","Fellowship","Artistic and Creative Products","University College London","Institute of Archaeology","Sterling","Colin","","Reimagining Museums for Climate Action","Exhibition at Glasgow Science Centre held before and during COP26 (June - November 2021). The exhibition displayed eight concepts emerging from an international design competition exploring the future of museums in the climate change era.","Artistic/Creative Exhibition","2021","Estimated 120,000 visitors, including young people, families, and - as part of COP26 - policy makers from around the world. Also featured on Google Arts &amp; Culture virtual COP26 site, therefore reaching audiences around the world. 

The competition itself received over 250 submissions from 48 countries.","http://www.museumsforclimateaction.org","6200f090072db7.88749792","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/resources/outcome.html#?type=artisticandcreativeproduct&outcomeId=6200f090072db7.88749792&grantRef=AH%2FS00436X%2F1","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=AH/S00436X/1","3FDAADAA-A993-473C-B48F-D8F86C8531E7","1291772D-DFCE-493A-AEE7-24F7EEAFE0E9","3A5E126D-C175-4730-9B7B-E6D8CF447F83","87021620-9FB6-41C8-9AED-86629D94EAC9"
"AHRC","AH/S00369X/1","Research Grant","Artistic and Creative Products","University of the Arts London","Central Saint Martin's College","Corby","Tom","","""Space-Time Matters"", DiffractiveMedia.Space, Alfred University, New York, USA, November 6 - December 6, 2020.","Carbon Topographies is a global animated time series employing data from climate model outputs that seeks to make tangible how the Earth's atmosphere has been transformed by fossil fuel and other greenhouse gas emissions. The data derives from Carbon Tracker an open source CO2 measurement and modelling system developed by National Oceanic and Atmospheric Administration (NOAA) *.","Artistic/Creative Exhibition","2020","To be added","https://www.ericsouther.com/diffractivemedia","62232b15801df4.06679698","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/resources/outcome.html#?type=artisticandcreativeproduct&outcomeId=62232b15801df4.06679698&grantRef=AH%2FS00369X%2F1","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=AH/S00369X/1","1F38EB5F-F0EF-4561-9B8D-8BAA8C97ACF8","1291772D-DFCE-493A-AEE7-24F7EEAFE0E9","A037C26F-2172-4927-91DA-921F67B7EF39","737EB87F-9A33-4FDA-B78D-03635EECB444"
"AHRC","AH/S00369X/1","Research Grant","Artistic and Creative Products","University of the Arts London","Central Saint Martin's College","Corby","Tom","","Little Earths at Reimagining Museums for Climate Action/book public activity","The Little Earths are 3D models derived from bathymetry data that integrates land topography including &quot;Ice Surface&quot; (Antarctic and Greenland top lying ice) and &quot;bedrock&quot; (base ice). The materials used for our prototypes use plant-based filaments (including seaweed) and are a sustainable source but we are also exploring the use of more fragile materials including glass or ceramics. 

The Little Earths will be offered to politicians and policy makers over an extended time period who will be tasked to carry them on a daily basis. Custodians will be required to document their reflections in diary form as an affirmation of the conscious care they need to demonstrate for the planet. The project shows how climate data can be distributed 'in the wild' tenderly, as a mobile and social form operative relationally outside of normative contexts of knowledge production and dissemination.
https://www.manifest-data.org/post/unfolding-data-through-little-earths","Artwork","2021","to be determined","https://www.museumsforclimateaction.org/mobilise/book","6223369730e9c7.57619621","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/resources/outcome.html#?type=artisticandcreativeproduct&outcomeId=6223369730e9c7.57619621&grantRef=AH%2FS00369X%2F1","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=AH/S00369X/1","1F38EB5F-F0EF-4561-9B8D-8BAA8C97ACF8","1291772D-DFCE-493A-AEE7-24F7EEAFE0E9","A037C26F-2172-4927-91DA-921F67B7EF39","737EB87F-9A33-4FDA-B78D-03635EECB444"
"ESRC","ES/T016051/1","Research Grant","Artistic and Creative Products","Royal Holloway, University of London","Geography","Parsons","Laurie","","Disaster Trade Outdoor Exhibition","As the UK prepares for COP 26, British politicians are lauding the UK's success in reducing its carbon footprint. But all is not as it seems. As the new Disaster Trade exhibition reveals, the true global impact of the British economy is hidden from observers, but no less destructive for it.

Focusing on imports from Cambodia, Sri Lanka and the South Asian &quot;brick belt&quot;, this exhibition exemplifies how British trade shapes the disasters that afflict the UK's trading partners. 

Drawing on global quantitative data, personal testimonies and professional photography, it exposes how the UK's trade in garments, bricks and tea serves to displace emissions and environmental degradation, whilst intensifying the impacts of natural hazards linked to climate change.

The exhibition, which includes both indoor and outdoor elements, will run for a month from 13th October to November 13th 2021 at the St Martin in the Fields rear courtyard and indoor foyer, Trafalgar Square, London WC2N 4JJ.","Artistic/Creative Exhibition","2021","This exhibition provided tens of thousands of members of the public with the opportunity to observe and engage with the findings of the project. The launch had over 50 attendees, before the subsequent 30 day residence allowed hundreds of people to connect with the project every day.","https://www.disastertrade.org/events/ylbt4ifbpxhd18smjqe0afaox7ik1k","62295d7905cec8.60026023","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/resources/outcome.html#?type=artisticandcreativeproduct&outcomeId=62295d7905cec8.60026023&grantRef=ES%2FT016051%2F1","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=ES/T016051/1","94FA17DB-D0EC-41C5-BC06-54B61F5E6ACA","924BE15C-91F2-4AAD-941A-3F338324B6AE","7A0397DD-E0C6-4EA3-8031-B841D2503C4D","8D824CB9-8BC0-4CD2-960F-3D93BB062340"
"ESRC","ES/S013547/1","Research Grant","Artistic and Creative Products","De Montfort University","Institute of Energy and Sustainable Dev","Bhattacharyya","Subhes","http://orcid.org/0000-0002-1196-496X","Integrating the Sustainable Development Goals into Urban Climate Plans: Insights from Japan","This presentation has offered an analysis of climate action of Japanese cities and considered their alignment with the SDGs. Informed by the literature, this presentation identified a range of areas where climate actions in cities could have influence on other development and welfare aspects. The state of such alignment is explored here.",,"2021",,"https://figshare.dmu.ac.uk/articles/presentation/Integrating_the_Sustainable_Development_Goals_into_Urban_Climate_Plans_Insights_from_Japan/14184815/1","61ebf0a906d781.65547552","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/resources/outcome.html#?type=artisticandcreativeproduct&outcomeId=61ebf0a906d781.65547552&grantRef=ES%2FS013547%2F1","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=ES/S013547/1","C457E6E1-5A81-4922-B05F-39F1E917317A","924BE15C-91F2-4AAD-941A-3F338324B6AE","DF259B19-FD17-4588-BFEF-AD08F1193451","9CCF9567-8CCB-4431-A06F-7298F78563B4"
"ESRC","ES/S013547/1","Research Grant","Artistic and Creative Products","De Montfort University","Institute of Energy and Sustainable Dev","Bhattacharyya","Subhes","http://orcid.org/0000-0002-1196-496X","Integrating the Sustainable Development Goals into Urban Climate Plans: Insights from Japan","This presentation has offered an analysis of climate action of Japanese cities and considered their alignment with the SDGs. Informed by the literature, this presentation identified a range of areas where climate actions in cities could have influence on other development and welfare aspects. The state of such alignment is explored here.",,"2021",,"https://figshare.dmu.ac.uk/articles/presentation/Integrating_the_Sustainable_Development_Goals_into_Urban_Climate_Plans_Insights_from_Japan/14184815","61ebf0a8858b50.53693635","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/resources/outcome.html#?type=artisticandcreativeproduct&outcomeId=61ebf0a8858b50.53693635&grantRef=ES%2FS013547%2F1","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=ES/S013547/1","C457E6E1-5A81-4922-B05F-39F1E917317A","924BE15C-91F2-4AAD-941A-3F338324B6AE","DF259B19-FD17-4588-BFEF-AD08F1193451","9CCF9567-8CCB-4431-A06F-7298F78563B4"
