"Funding OrgName","Project Reference","ProjectCategory","Outcome Type","LeadRO Name","Department","PI Surname","PI First Name","PI Orcid iD","Outcome Title","Description","Type of Technology","Software Open Sourced?","Year Produced","Impact","Url","GTR OutcomeId","GTR Outcome URL","GTRProjectUrl","ProjectId","FundingOrgId","LeadROId","PIId"
"EPSRC","EP/S031901/1","Research Grant","Software and Technical Products","University of Strathclyde","Electronic and Electrical Engineering","McArthur","Stephen","http://orcid.org/0000-0003-1312-8874","Open Platform for Energy Networks (OPEN)","The Open Platform for Energy Networks (OPEN) provides a python toolset for modelling, simulation and optimisation of smart local energy systems. The framework combines distributed energy resource modelling (e.g. for PV generation sources, battery energy storage systems, electric vehicles), energy market modelling, power flow simulation and multi-period optimisation for scheduling flexible energy resources.

We continue to extend OPEN as it is used on new projects.","Software","Yes","2019","OPEN is currently being use for modelling, design and testing smart energy system control strategies and market designs for a number of projects including the &quot;Vehicle-to-Grid Oxford (V2GO)&quot; demonstration project, &quot;EnergyREV - Market Design for Scaling up Local Clean Energy Systems&quot; project, and EPSRC IAA projects &quot;Perth West as a Case Study for the Value of Greenfield Smart Local Energy Systems&quot; and &quot;Assessing options for a smart, resilient and low-carbon multivector energy system in the Scottish Borders&quot;.",,"5e6525a02f7a98.40159617","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/resources/outcome.html#?type=softwareandtechnicalproduct&outcomeId=5e6525a02f7a98.40159617&grantRef=EP%2FS031901%2F1","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=EP/S031901/1","CA83F86E-19E9-42C8-8027-112A905E7A72","798CB33D-C79E-4578-83F2-72606407192C","5BB4F8BF-B4E0-4EAF-9AF5-885E19D64850","BC597FA9-5A24-4E0F-B9C4-D7B1475351BF"
"EPSRC","EP/N021452/1","Research Grant","Software and Technical Products","University of Edinburgh","Sch of Engineering","Mueller","Markus","","Edinburgh Wave Systems Simulation (EWSS)","The EWST (Edinburgh Wave Systems Toolbox) is a suite of tools for the simulation of wave energy devices. EWST has the ability to model devices that are comprised of rigid bodies, power-take-off systems, and mooring systems. Simulations are performed in the time-domain by solving the governing WEC equations of motion in 6 degrees-of-freedom.
EWST is derived from WEC-Sim, an open-source wave energy converter simulation tool developed in Matlab/Simulink using the multi-body dynamics solver Simscape Multibody. The EWST is also developed in Matlab, but drops the requirement for Simulink or Simscape Multibody. It also aims to be compatible with Octave, an alternative system able to process much of the standard Matlab code base. The hydrodynamic data format for both is identical, so hydrodynamic data can be easily ported between systems.
EWST replaces the mutlibody modelling parts of the code with MBDyn, an advanced multiboy dynamics simulator. An advanced Matlab code based MBDyn preprocessor is available to allow the creation of MBDyn model input files directly from Matlab. Detailed documentation of the preprocesing tool may be found in it's own dedicated manual.
Purpose
With the existance of Wec-Sim the need for EWST may nt be obvious. EWST addresses several main perceived issues with Wec-Sim.
1. Maintainability: Wec-Sim being heavily based in Simulink does not lend itself to maintenance using standard software version control systems (e.g. Git, Mercurial). Simulink files cannot be easily compared for changes using these systems.
2. Debugability: Debugging a purely code based system is easier than one based in Simulink, as the ability to step through the code and navigate the different levels of the system is more advanced. purely code-based
3. Interface design: The developers of EWST have a different interface design philosophy which is more conventional than the WEC-Sim method. The EWST interface is more oriented toward automation and batch processing than the original WEC-Sim interface. This is mainly to facilitate randomised simulation and optimisation algorithms.
4. Modifiability: Being purely code based, and with all code in one location (rather than spread throughout Simulink models)
5. Cost: WEC-Sim requires many commercial platforms to be operated, EWST can be run entirely on free software (although the performance on Matlab will be superior).
The EWST developers recognise that not everyone will agree with the points above or that they justify the creation of a separate system, but it was these needs which drove it's creation.
An aim of the project will continue to be to maintain compatibility as much as possible between the two systems
Developers and Contributers
The Edinburgh Wave Systems Toolbox has been created by The Institute for Energy Systems at The University of Edinburgh as part of the EPSRC funded project &quot;All Electrical Drive Train for Marine Energy Converters (EDRIVE-MEC)&quot;, grant No. EP/N021452/1. The main contributor is Dr. Richard Crozier.","Software","Yes","2018","Edinburgh Wave Systems Simulation software is being used by a Wave Energy Scotland Project - Project Neptune, led by University of Edinburgh, in order to develop design case studies for direct drive generator power take off for two industrial partners.",,"5c8251dae06611.12463267","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/resources/outcome.html#?type=softwareandtechnicalproduct&outcomeId=5c8251dae06611.12463267&grantRef=EP%2FN021452%2F1","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=EP/N021452/1","3B290421-6CA3-46A2-A5EE-E37426ED31D9","798CB33D-C79E-4578-83F2-72606407192C","2DB7ED73-8E89-457A-A395-FAC12F929C1A","E35A6324-4A07-4AD1-891C-1EC683B72596"
"BBSRC","BBS/E/T/000PR9783","Intramural","Software and Technical Products","Earlham Institute","UNLISTED","Davey","Robert","","AirSurf-Lettuce: an aerial image analysis platform for ultra-scale field phenotyping and precision agriculture using computer vision and deep learning","Aerial imagery is regularly used by farmers and growers to monitor crops during the growing season. To extract meaningful phenotypic information from large-scale aerial images collected regularly from the field, high-throughput analytic solutions are required, which not only produce high-quality measures of key crop traits, but also support agricultural practitioners to make reliable management decisions of their crops. Here, we report AirSurf-Lettuce, an automated and open-source aerial image analysis platform that combines modern computer vision, up-to-date machine learning, and modular software engineering to measure yield-related phenotypes of millions of lettuces across the field.","Software","Yes","2019","Utilising ultra-large normalised difference vegetation index (NDVI) images acquired by fixed-wing light aircrafts together with a deep-learning classifier trained with over 100,000 labelled lettuce signals, the platform is capable of scoring and categorising iceberg lettuces with high accuracy (&gt;98%). Furthermore, novel analysis functions have been developed to map lettuce size distribution in the field, based on which global positioning system (GPS) tagged harvest regions can be derived to enable growers and farmers' precise harvest strategies and marketability estimates before the harvest.","https://www.biorxiv.org/content/10.1101/527184v1","5c6f6b79618ae4.53346847","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/resources/outcome.html#?type=softwareandtechnicalproduct&outcomeId=5c6f6b79618ae4.53346847&grantRef=BBS%2FE%2FT%2F000PR9783","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=BBS/E/T/000PR9783","61087110-F7C3-44EB-AA3D-ABD38D39B467","2512EF1C-401B-4222-9869-A770D4C5FAC7","B7B056A3-95CE-4F90-9F31-708B4612610D","E8B59A50-5BD9-4D80-8E0E-15D5D6060055"
"BBSRC","BBS/E/T/000PR9785","Intramural","Software and Technical Products","Earlham Institute","UNLISTED","Hall","Anthony","http://orcid.org/0000-0002-1806-020X","AirSurf-Lettuce: an aerial image analysis platform for ultra-scale field phenotyping and precision agriculture using computer vision and deep learning","Aerial imagery is regularly used by farmers and growers to monitor crops during the growing season. To extract meaningful phenotypic information from large-scale aerial images collected regularly from the field, high-throughput analytic solutions are required, which not only produce high-quality measures of key crop traits, but also support agricultural practitioners to make reliable management decisions of their crops. Here, we report AirSurf-Lettuce, an automated and open-source aerial image analysis platform that combines modern computer vision, up-to-date machine learning, and modular software engineering to measure yield-related phenotypes of millions of lettuces across the field.","Software","Yes","2019","Utilising ultra-large normalised difference vegetation index (NDVI) images acquired by fixed-wing light aircrafts together with a deep-learning classifier trained with over 100,000 labelled lettuce signals, the platform is capable of scoring and categorising iceberg lettuces with high accuracy (&gt;98%). Furthermore, novel analysis functions have been developed to map lettuce size distribution in the field, based on which global positioning system (GPS) tagged harvest regions can be derived to enable growers and farmers' precise harvest strategies and marketability estimates before the harvest.","https://www.biorxiv.org/content/10.1101/527184v1","5c6f6b79618ae4.53346847","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/resources/outcome.html#?type=softwareandtechnicalproduct&outcomeId=5c6f6b79618ae4.53346847&grantRef=BBS%2FE%2FT%2F000PR9785","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=BBS/E/T/000PR9785","087F0C68-9C2F-41B8-8882-ED135CA3B13D","2512EF1C-401B-4222-9869-A770D4C5FAC7","B7B056A3-95CE-4F90-9F31-708B4612610D","B4956C43-1C47-427C-B576-4EA7416BAABE"
"EPSRC","EP/I001379/1","Research Grant","Software and Technical Products","University of Birmingham","Civil Engineering","Bridgeman","John","http://orcid.org/0000-0001-8348-5004","Duo Fluor","A portable advanced prototype instrument, developed for the analysis of peak T fluorescence and also for peak C fluorescence - which is used as a surrogate for humic and fulvic acid presence. An ideal application of these sensors is the real-time, hand held analysis of the microbiological quality of drinking water, particularly in areas of poor or no sanitation as widely found in developing countries and during disaster relief scenarios.","Physical Model/Kit","","2015","The prototype is being used for the first time to establish bacterial numbers in a wide range of water samples (including river water and effluent from sewage treatment works). Preliminary testing, research and prototype development demonstrate the potential of using a portable fluorimeter as an initial screening tool for indicative microbial water quality in disaster relief, and one that is ideally suited to simple pollution scenarios such as assessing the impact of faecal contamination in river or groundwater at specific sites. Furthermore, there is the ability to have both expert interpretation of results as well as simplified pictorial interpretation for use by non-experts in individual communities. Thus, the innovative approach to improving the efficiency of analysis has the additional benefit of community empowerment through involving poor water users themselves in the application of the technology.",,"56e059e47cb2b0.02584456","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/resources/outcome.html#?type=softwareandtechnicalproduct&outcomeId=56e059e47cb2b0.02584456&grantRef=EP%2FI001379%2F1","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=EP/I001379/1","FEBC0E06-1ED4-42DE-9E4C-AE45AEFD0E66","798CB33D-C79E-4578-83F2-72606407192C","818CD6C9-61EE-41F2-9F37-0C7A8F43E25D","A0F31F31-5F29-4F43-9497-31DF01F580E9"
"NERC","NE/N017927/1","Research Grant","Software and Technical Products","Open University","Environment, Earth & Ecosystems","Wheeler","Philip","","Treezilla website","The Treezilla website is a complete reversioning of the OpenTreeMap website to give it a UK focus. Specifically it uses UK-relevant ecosystem services costings, based on social damage costs, and employs re-worked, UK-specific climate zones for calculating ecosystem services provision.","Webtool/Application","Yes","2017","The site now has over 1200 registered users. Around half of these pre-date the VITAL project, but the remaining half have joined in the time of the project and around 50 have registered since the updated site was released in October 2017.","https://www.treezilla.org/treezilla/map/","5aa278b17c6973.31278423","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/resources/outcome.html#?type=softwareandtechnicalproduct&outcomeId=5aa278b17c6973.31278423&grantRef=NE%2FN017927%2F1","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=NE/N017927/1","A32A2000-D4EA-4594-8230-054BA6B3957B","8A03ED41-E67D-4F4A-B5DD-AAFB272B6471","89E6D9CB-DAF8-40A2-A9EF-B330A5A7FC24","8632C85E-81CE-451E-BC32-2F04A54E3DEC"
"EPSRC","EP/V002945/1","Research Grant","Software and Technical Products","University College London","Bartlett Sch of Env, Energy & Resources","Spataru","Catalina","","Disaster Response Framework and Web App","Natural language processing framework for text analysis in social media data related to disaster and crisis management. This code uses Python 3.7.9 running after Miniconda3 environments with a GPU NVIDIA Geforce RTX 2060.","Webtool/Application","Yes","2022","A novel and rigorous framework to analyze and identify key text information revealed in social media related to disasters. Use of deep bidirectional Transformer neural networks, to train several models from benchmark datasets containing the largest annotated messages of disaster-related categories. A specific categorization strategy for the main disaster categories to train our deep learning models along with their strategy for performance evaluation. Our developed interface shows this combination of deep learning models. We conclude from both methodology and empirical application results that score shows potential to explain informative and influential information in a variety of large-scale data sets. This is worth noticing because such information leads to higher prediction performances, thus helping to improve accuracy of classification methods for message filtering purposes. Finally, we show our web interface to be used for several potential applications in humanitarian response, including management of crisis or natural hazards, needs of resource allocation, or emergency assistance","https://www.researchsquare.com/article/rs-1370942/v1","62333a2b526d79.40608236","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/resources/outcome.html#?type=softwareandtechnicalproduct&outcomeId=62333a2b526d79.40608236&grantRef=EP%2FV002945%2F1","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=EP/V002945/1","D9B41B95-86E0-4E84-A14A-6BA78CB49F35","798CB33D-C79E-4578-83F2-72606407192C","3A5E126D-C175-4730-9B7B-E6D8CF447F83","00C18981-2D07-42E1-8DC4-B2DBBE4E41EF"
"ESRC","ES/L009099/1","Research Grant","Software and Technical Products","Cardiff University","Sch of Social Sciences","Jones","Ian","http://orcid.org/0000-0002-1682-9134","WISERD DataPortal: Air Quality in Jakarta, Indonesia, interface","The Air Quality in Jakarta interface is built upon the existing WISERD DataPortal infrastructure, providing a web-based, interactive data mapping tool for displaying geo-tagged air quality sensor data, collected in Jakarta, Indonesia. This work was undertaken as a result of a collaboration between WISERD and Cardiff University's School of Geography and Planning.","Webtool/Application","Yes","2017","This interface was developed as a proof of concept, which then led to a bid for further funding.","https://data.wiserd.ac.uk/aqp_dashboard","5a79c6ac5ebff3.61453487","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/resources/outcome.html#?type=softwareandtechnicalproduct&outcomeId=5a79c6ac5ebff3.61453487&grantRef=ES%2FL009099%2F1","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=ES/L009099/1","05F2F895-D275-422E-96AA-19440C30FFB1","924BE15C-91F2-4AAD-941A-3F338324B6AE","9C10D78F-6430-4CA7-9528-B96B0762A4C6","8D5B39CF-78AE-43D4-B28C-D5B6574E0424"
"UKRI","MR/T019018/1","Fellowship","Software and Technical Products","University of Stirling","Biological and Environmental Sciences","Jones","Isabel","http://orcid.org/0000-0002-8361-1370","Power Up!","The &quot;Power Up!&quot; game for mobile devices puts players in the role of sustainable development decision-makers. Detailed human decision-making data about difficult Sustainable Development Goal (SDG) trade-offs are collected through gameplay. &quot;Power Up!&quot; is a step-change in how mobile games can be used to directly engage people in research-led data collection at the scales needed to tackle global challenges.","Webtool/Application","","2021","The &quot;Power Up!&quot; game was launched at COP26 (November 2021) and in that month alone there were &gt;700 players generating data on &gt;57,000 decisions about sustainable development. Players receive real-time feedback on the consequences of their sustainable development choices, and thus immediate impact from engagement with the topic of Sustainable Development trade-offs is realised.",,"6204fb5f7cffb6.88845542","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/resources/outcome.html#?type=softwareandtechnicalproduct&outcomeId=6204fb5f7cffb6.88845542&grantRef=MR%2FT019018%2F1","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=MR/T019018/1","B99AFEF3-7ABF-40F6-B80B-BD193CFB8274","5807F429-7BF0-4E42-917E-D4ADF5399E7B","C7510606-A36F-4725-A89B-9D592374972A","624F1A0B-9297-4B26-B19C-0B817599B8F4"
"EPSRC","TS/H001565/1","Research Grant","Software and Technical Products","Cranfield University","Sch of Applied Sciences","Evans","Steve","","THERM","THERM (THrough-life Energy and Resource Modelling) is a software tool for sustainable manufacturing, which integrates modelling of factory processes within their environment, assesses the materials, energy and waste of the processes and uses data analysis tools to understand the opportunities that exist for reducing energy consumption and carbon emissions, integrated with the factory building. Initially being released as an IES consulting service, THERM will in due course be available as part of the IES software suite.","Software","","2012","Not known",,"r-8835560566.59255271e70a1a","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/resources/outcome.html#?type=softwareandtechnicalproduct&outcomeId=r-8835560566.59255271e70a1a&grantRef=TS%2FH001565%2F1","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=TS/H001565/1","18B150C8-E9DC-4288-95AC-5BAD9086DDD5","798CB33D-C79E-4578-83F2-72606407192C","F45A4578-F962-4EFA-9CC1-9F2FF4F760AE","68F9AC3F-225C-4FAD-A645-C2F5A9BBB85A"
"EPSRC","EP/D50306X/1","Research Grant","Software and Technical Products","University of Cambridge","Chemical Engineering and Biotechnology","Wilson","David","","Numerical simulation of fouling in oil refinery heat exchanger networks","The numerical simulation developed in this project constitutes a powerful simulation tool for analysing the operation of oil refinery preheat trains. Functionality includes data reconciliation, heat transfer prediction, control and operability aspects, and optimisation. The numerical code was subsequently developed into a piece of commercial code, SmartPM, in collaboration with IHS-ESDU","Software","","2012","The SmartPM software is the first truly flexible tool which allows oil refinery operators to (a) establish the level of fouling in their heat exchanger networks, (b) establish the most economically attractive cleaning scheduling programme to mitigate fouling, and (c) to compare cleaning programmes with other mitigation options such as network retrofitting or cleaning chemicals. Proof of impact is its adoption by several oil majors. The technology reduces financial costs as well as greenhouse gas emissions.","http://www.ihs.com/info/st/e/smartpm.aspx","r-7089495311.5745416fd53326","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/resources/outcome.html#?type=softwareandtechnicalproduct&outcomeId=r-7089495311.5745416fd53326&grantRef=EP%2FD50306X%2F1","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=EP/D50306X/1","4C21DE18-F146-4CE1-B8EB-0FC99B92EB31","798CB33D-C79E-4578-83F2-72606407192C","D1774113-D5D2-4B7C-A412-66A90FE4B96F","91D4646C-3A43-4370-9301-54C2ACF447F0"
"EPSRC","EP/P007805/1","Research Grant","Software and Technical Products","University of Edinburgh","Sch of Engineering","Wallace","Robin","","Anti-biofouling and self-monitoring coatings","Biofouling protecting coatings on immersed components are intended to prevent barnacles, oysters, tubeworms and other marine life from attaching to wave energy converter and tidal turbine surfaces. Such growth dramatically increases cyclic fatigue loadings and reduces the electricity generated by marine renewable energy devices.

Copper-based paints are usually used as antifouling technology. However, the toxicity of these paints, as well as toxic copper concentration build-up is a major concern, as were the previous organotin paint generation, which led to a worldwide ban in 2008. 

In this project, a new environmental friendly, self-sufficient and embedded system was developed. The developed technology is based on electro chlorination, which have been used for enclosed systems but never to protect large exposed surfaces immersed in seawater. The chlorine species obtained via this method are quickly degraded (half-life of several hours, depending on UV intensity). A low concentration only (0.5ppm) is required for active protection on a targeted surface. This concentration is harmless for humans as it is the same chlorine concentration present in treated water for consumption purpose. The electrical output can be set according to the harshness of the environment. In the event of power failure and uncontrolled fouling the system can be powered up to remove any growth as the production of the antifouling elements are produced at the points of attachment of the growth, the rate of removal can be accelerated by the use of longer pulses and/or higher current. The system is based on a low voltage (6V or lower) for safety considerations, has a very low energy consumption, and can therefore be supplied by renewable energy (e.g. solar/wind).","New/Improved Technique/Technology","","2019","Unlike existing solutions, the developed is not toxic and requires low voltage supply and has very low power consumption, making it both environmentally friendly, and very easy to be powered using renewable energy.",,"604a2600cf1cd2.34866272","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/resources/outcome.html#?type=softwareandtechnicalproduct&outcomeId=604a2600cf1cd2.34866272&grantRef=EP%2FP007805%2F1","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=EP/P007805/1","69969E2A-0B77-4FAD-B6DE-8BAB56FB7789","798CB33D-C79E-4578-83F2-72606407192C","2DB7ED73-8E89-457A-A395-FAC12F929C1A","9CC11928-89DC-43D7-878F-CA93578BDFEA"
"BBSRC","BB/R019983/1","Research Grant","Software and Technical Products","Manchester Metropolitan University","Sch of Computing, Maths and Digital Tech","Han","Liangxiu","","a mobile-based machine vision tool","We have developed a mobile-based machine vision tool, which can automatically identify potato late blight disease in real time. It is on-device detection without needing the Internet connection. users with only basic training can use it easily. Currently, this product is tested in real fields.","Software","","2019","For the first time, we developed a new near-market machine vision app which can perform on-device real-time diagnosis of potato diseases with high accuracy. Our product has been tested by our Chinese project partners in the real fields during the project period on a small scale and will be tested and evaluated on a large scale in the coming growing seasons. Once it is tested on a large scale, we will relase our mobile app to allow all farmers to generate a wide impact.","https://epic337255300.wordpress.com/our-product/","5d30cfbdb1a380.28960953","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/resources/outcome.html#?type=softwareandtechnicalproduct&outcomeId=5d30cfbdb1a380.28960953&grantRef=BB%2FR019983%2F1","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=BB/R019983/1","97D50901-DB00-4810-8A50-4C49AFCA941D","2512EF1C-401B-4222-9869-A770D4C5FAC7","E594FDB4-DD6F-441F-90D6-C423A2916446","B2AD55AC-1C78-4EDB-9DB3-2D6D36719B36"
"NERC","ceh020003","Intramural","Software and Technical Products","NERC Centre for Ecology and Hydrology",,"Watkins","John","http://orcid.org/0000-0002-3518-8918","UK Lakes Portal","The UK Lakes Portal is a new online gateway to discover the lakes of the United Kingdom, linking data from many institutions into one national hub. With more than 40,000 lakes represented, a third of those with detailed information on their catchments, the scale of this new portal hosted by the Centre for Ecology &amp; Hydrology is unprecedented for freshwater research in the UK.
The portal includes physical, environmental, and water chemistry data compiled from an extensive set of sources over many years. In addition, integration with the National Biodiversity Network displays biology data, while anyone can observe and record species observations at any lake in the UK, using iRecord to contribute new information.","Webtool/Application","","2016","Professor Rosie Hails, Director of Biodiversity and Ecosystem Science at the Centre for Ecology &amp; Hydrology, said,&quot;The UK Lakes Portal is a product of excellent collaboration between the Centre for Ecology &amp; Hydrology, University College London and the UK conservation and environment agencies. This is one of many natural capital portals that we hope to develop in the future as an evidence base to support policy and decision making.&quot;","https://eip.ceh.ac.uk/apps/lakes/","56e142ef3eb914.41570238","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/resources/outcome.html#?type=softwareandtechnicalproduct&outcomeId=56e142ef3eb914.41570238&grantRef=ceh020003","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=ceh020003","69AAF37F-89D6-4E83-96E3-F6EDFA0B2CEC","8A03ED41-E67D-4F4A-B5DD-AAFB272B6471","4FC881BE-799E-459C-A287-2A68170426DA","3677BAA5-7975-4F5B-931D-388BA2A423E1"
"ESRC","ES/S008179/1","Research Grant","Software and Technical Products","Newcastle University","Sch of Engineering","Dawson","Richard","http://orcid.org/0000-0003-3158-5868","Water quality data interpretation and waterborne hazard communication application","A website to map and share information about water quality with a script to automatically update the website with interpreted data following data submission. The website also provides information on health effects of water pollutants and appropriate treatment methods.","Webtool/Application","","2020","The website may be adapted in collaboration with a local charity to share information about the impact of combined sewer overflows on river water quality.","https://research.ncl.ac.uk/waterqualitymaps/","6041263549d128.68309383","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/resources/outcome.html#?type=softwareandtechnicalproduct&outcomeId=6041263549d128.68309383&grantRef=ES%2FS008179%2F1","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=ES/S008179/1","A8B266A9-EAF4-4196-8F19-645E90537E65","924BE15C-91F2-4AAD-941A-3F338324B6AE","5E2B04DD-4A03-45ED-9892-61C5CCB8AC68","5E1569E2-4B9C-4DAD-848A-7C2F6BD3CB02"
"EPSRC","EP/P028527/1","Research Grant","Software and Technical Products","Newcastle University","Sch of Engineering","Werner","David","","Water quality data interpretation and waterborne hazard communication application","A website to map and share information about water quality with a script to automatically update the website with interpreted data following data submission. The website also provides information on health effects of water pollutants and appropriate treatment methods.","Webtool/Application","","2020","The website may be adapted in collaboration with a local charity to share information about the impact of combined sewer overflows on river water quality.","https://research.ncl.ac.uk/waterqualitymaps/","6041263549d128.68309383","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/resources/outcome.html#?type=softwareandtechnicalproduct&outcomeId=6041263549d128.68309383&grantRef=EP%2FP028527%2F1","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=EP/P028527/1","0AD540F6-DCA1-4A64-B6A6-D5EBFADBAEE5","798CB33D-C79E-4578-83F2-72606407192C","5E2B04DD-4A03-45ED-9892-61C5CCB8AC68","8795BA13-3923-49C3-9333-05E6A7E3AA45"
"EPSRC","EP/K022229/1","Research Grant","Software and Technical Products","University of Manchester","Electrical and Electronic Engineering","Mutale","Joseph","","Unit Commitment software","Unified Unit Commitment Formulation and Fast Multi-Service LP Model for Flexibility Evaluation in Sustainable Power Systems","Grid Application","","2015","Still under assessment",,"56e04cd702f830.47652020","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/resources/outcome.html#?type=softwareandtechnicalproduct&outcomeId=56e04cd702f830.47652020&grantRef=EP%2FK022229%2F1","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=EP/K022229/1","BFAC4E53-66BF-4426-9119-0AA2B98BBCF6","798CB33D-C79E-4578-83F2-72606407192C","68D0E3C9-9246-4CFC-B5E9-48584CF82993","2F40E62F-20F8-4DFB-92C1-30333C7E6715"
"NERC","bgs05014","Intramural","Software and Technical Products","NERC British Geological Survey",,"Royse","Katherine","http://orcid.org/0000-0001-5660-2615","Environmental Monitoring sensor data","Real-time monitoring of environmental phenomena is a large and growing area of interest in the BGS and wider research communities. As an informatics department we are tasked with providing scalable, robust ways of managing high volume, highly varied data, generated by a range of scientific projects. We are collecting data from sensors located throughout the UK, and beyond, capturing information on properties such as groundwater temperature and levels, barometric air pressure and motion sensors. We have recently started collecting information related to the energy efficiency of buildings and have developed techniques for incorporating data from sensors operated by other institutions. We want to manage the sensor data we use in our research in a consistent, scalable manner, regardless of the type of sensor, where it is located or who set it up. We have developed an architecture for streaming sensor telemetry data into a central data store where it can be standardised, cleaned up and generally prepared for the many potential users that want to access that data. Our philosophy it to tailor data clients to meet the needs of the users without compromising the design of the central data store. This means that we may create web portals or mobile applications for a geographical area, a particular scientific discipline or a topic of public concern. The range of outputs produced include online graphing tools, publicly accessible web APIs, use of 3rd party libraries for graphing temporal data such as dygraphs.com, ingestion of non-telemetry data into the sensor data database.","Webtool/Application","","2018","Too early to say","http://www.bgs.ac.uk/Sensors/","5aaa92ade47640.19753858","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/resources/outcome.html#?type=softwareandtechnicalproduct&outcomeId=5aaa92ade47640.19753858&grantRef=bgs05014","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=bgs05014","7FDB0BEA-F3E5-48BB-A8CA-5A8F897D6A57","8A03ED41-E67D-4F4A-B5DD-AAFB272B6471","7ADE0AB2-1050-4241-987D-F3B1C3322E05","5285A27E-9073-4BD1-AA84-6101E9C2DB8A"
