"Funding OrgName","Project Reference","ProjectCategory","Outcome Type","LeadRO Name","Department","PI Surname","PI First Name","PI Orcid iD","Outcome Title","Description","Protection","IP Reference","Year Protection Granted","Licensed?","Impact","Url","GTR OutcomeId","GTR Outcome URL","GTRProjectUrl","ProjectId","FundingOrgId","LeadROId","PIId"
"EPSRC","EP/S001239/2","Fellowship","Intellectual Property","King's College London","Engineering",,,"","Method of Forming an Electrode","A method of making electrodes for solid-state batteries that improves energy storage performance.","Patent application published","PCT/GB2021/052559","2020","No","A business case is proposed for licensing.",,"6049fc1ad643e2.32964300","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/resources/outcome.html#?type=intellectualproperty&outcomeId=6049fc1ad643e2.32964300&grantRef=EP%2FS001239%2F2","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=EP/S001239/2","ACB440B1-06CA-4B93-AECD-445286AD204B","798CB33D-C79E-4578-83F2-72606407192C","318B5D98-4CB4-4B10-A876-08FC93071A56",
"EPSRC","EP/S001239/1","Fellowship","Intellectual Property","University of Oxford","Materials","Huang","Chun","","Method of Forming an Electrode","A method of making electrodes for solid-state batteries that improves energy storage performance.","Patent application published","PCT/GB2021/052559","2020","No","A business case is proposed for licensing.",,"6049fc1ad643e2.32964300","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/resources/outcome.html#?type=intellectualproperty&outcomeId=6049fc1ad643e2.32964300&grantRef=EP%2FS001239%2F1","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=EP/S001239/1","6383A98A-B25A-4FA2-A0EB-C00AA7CC6391","798CB33D-C79E-4578-83F2-72606407192C","3EAE04CA-9D62-4483-B9C4-F91AD9F4C5A9","19E11DC2-C395-45E3-A06A-1E74F1D08D81"
"EPSRC","EP/R023034/1","Research Grant","Intellectual Property","University of Manchester","Chemistry","Dryfe","Robert","","Metal oxide graphene composite","Electrochemical method to make high quality graphene with applications in energy storage","Patent application published","PCT/EP18/086713","2018","Yes","Licences to First graphene Ltd",,"5e617d718777b2.44222517","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/resources/outcome.html#?type=intellectualproperty&outcomeId=5e617d718777b2.44222517&grantRef=EP%2FR023034%2F1","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=EP/R023034/1","871839A4-F70A-46B3-941B-E73536981B23","798CB33D-C79E-4578-83F2-72606407192C","68D0E3C9-9246-4CFC-B5E9-48584CF82993","651317F1-3E14-41E4-B11C-0E55F1243FE5"
"EPSRC","EP/K007254/1","Fellowship","Intellectual Property","University of Cambridge","Land Economy","Mercure","Jean-Francois","","Future Technology Transformations for the Power sector (FTT:Power) modelling framework","FTT:Power is a simulation of the future technology composition, fuel use, investment and greenhouse gas emissions by the global electricity sector in 53/21 regions (E3ME/E3MG).","Copyrighted (e.g. software)",,"2013","Yes","FTT:Power is a modelling framework and FORTRAN code that was built into the E3MG and E3ME software of Cambridge Econometrics Ltd by myself, freely supplied to them for their commercial use. On its own, it is an opensource software in Matlab. For Cambridge Econometrics, it is hard-linked to the economic simulation of the macroeconometric models E3MG and E3ME. Cambridge Econometrics now supplies FTT:Power as part of its commercial license of E3ME. It has been used for at least two commercial projects already. The first is for energy policy analysis of EU renewables targets by a consortium led by a German University (Leipzig). The second is for electricity policy analysis in East Asian countries (Japan, China, Korea and Taiwan), with emphasis on the nuclear situation, by a large Japanese research consortium, of which the output will be in the form of a book.",,"5447c0fc01b336.71292988","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/resources/outcome.html#?type=intellectualproperty&outcomeId=5447c0fc01b336.71292988&grantRef=EP%2FK007254%2F1","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=EP/K007254/1","A64A86D9-9741-4D6E-A88F-F75A68BB319C","798CB33D-C79E-4578-83F2-72606407192C","D1774113-D5D2-4B7C-A412-66A90FE4B96F","003D910A-7D8A-40D3-A159-69508FC07E82"
"EPSRC","EP/J000345/1","Research Grant","Intellectual Property","Heriot-Watt University","Sch of Engineering and Physical Science","Mallick","Tapas","","Construction Block with Photovoltaic Device","This invention relates to a construction block for use in a building, the block preferably being of transparent, light transmissive form, and which includes a photovoltaic device to permit the generation of electricity. The use of transparent, typically glass, blocks in buildings to form internal partitions whilst allowing light to pass through the partitions, or in the formation of sections of external walls which allow the transmission of light therethrough is well known. Such blocks are sometimes of solid glass form, but other arrangements in which the blocks are of hollow form are also known, such arrangements being advantageous in that they are of reduced weight and material cost. The incorporation of photovoltaic cells into or onto building structures to allow the generation of electricity is also well known. By way of example, large photovoltaic panels are often located upon or incorporated into the roofs of buildings or are mounted upon the external walls of buildings. Arrangements are known in which photovoltaic panels or cells are incorporated into glass blocks, alongside rechargeable batteries or the like and electrically operable light emitting devices such as light emitting diodes to form a solar powered light which may be incorporated into a structure, for example in the walls or floors thereof. However, in arrangements of this type, the panels or cells and other components substantially prevent the passage or transmission of light completely through the block, and so such devices are unsuitable for use in the formation of light transmitting wall or floor sections. Large solar cells are usually of opaque form and so incorporation of such panels or cells into a transparent block would prevent the block from allowing the transmission of light from one surface thereof to another. Clearly, therefore, the incorporation of large solar cells into transparent blocks intended for use in the construction of a light transmitting region or section of a wall, floor or partition is not appropriate. Arrangements are known in which solar collector devices are used to allow smaller dimension photovoltaic devices to be used and so allowing a quantity of light to pass completely through the block. Such arrangements allow the generation of electricity whilst being suitable for use in the construction of a light transmissive partition. Where used in part of an exterior wall of a building, it is desirable for a transparent block to not only allow the transmission of light between opposing surfaces thereof in order to achieved the desired function of admitting light to the building, but also for the block to be of good thermal insulating properties so as to avoid significantly negatively impacting upon the overall thermal insulating properties of the building in which they are used. Known arrangements are of relatively poor thermal insulating properties and so are unsuitable for use in such applications. It is an object of the invention to provide a block suitable for use in such applications and in which at least some of the disadvantages associated with known blocks are overcome or are of reduced effect. According to the present invention there is provided a block comprising an input wall and an output wall spaced apart from the input wall, a void being formed between the input wall and the output wall, wherein the input wall has a plurality of projections formed integrally therewith, the projections extending toward the output wall and serving to disrupt convection currents forming in the void, at least one of the projections comprising a solar concentrator which has a photovoltaic device mounted thereon. The projections preferably stop short of the output wall, but arrangements are possible in which they extend substantially to the position of the output wall, being spaced therefrom only by a sufficient distance to permit the mounting of the photovoltaic device thereon. It will be appreciated that in such an arrangement, as the photovoltaic device is mounted upon a solar concentrator, it need not be of large dimensions. Consequently, a significant quantity of light is able to pass the photovoltaic device, passing from the input wall to the output wall, and so the block is suitable for use in applications in which it is desired to allow light to enter a building, whilst still allowing electrical energy to be generated. By providing projections which disrupt the formation of convection currents in the void, the thermal insulating properties of the block are enhanced. The projections preferably extend to positions spaced from the input wall by at least 25% of the spacing between the input wall and the output wall. Preferably, they extend to positions spaced from the input wall by 30-60% of the said spacing. Such an arrangement is advantageous in that the formation of convection currents is significantly disrupted, in use, by the projections. At least one of the input wall and the output wall preferably has a peripheral wall formed integrally therewith, the peripheral wall extending towards the other of the input wall and the output wall. Preferably, peripheral walls are associated with both the input wall and the output walls, the peripheral walls engaging one another to space the input wall and the output wall apart from one another, the input wall, the output wall and the peripheral walls together defining the void. The peripheral walls may be cold fused to one another. However, if desired, other securing techniques may be used. The projections may be arranged in a regular array. However, other patterns may be used, if desired. When viewed from the input wall, the parts of the block formed with the solar concentrator(s) and photovoltaic device(s) will appear as dark spots or regions. By appropriate positioning of the projections, a desired visual appearance may be achieved. For example, the dark spots may be arranged to give the appearance of dark lines. If desired, certain of the projections may have no photovoltaic device associated therewith. Instead, they may have a coloured element associated therewith, with the result that the block appears to have coloured spots or regions thereon or therein. Again, by appropriate location of the projections, a desired visual appearance may be achieved. The outer face of the input wall may be shaped to include domed regions aligned with the projections. The domed regions may serve to increase the angle of incidence with which light is able to enter the projections. The output wall may be patterned to provide a desired visual effect. By way of example, it may be textured to provide an obscure glazed effect. Alternatively, through the use of coloured elements mounted upon the projections the block may give the effect of a series of coloured spots or pixels. Where a plurality of photovoltaic devices is present, they are conveniently connected together, and output conductors from the devices are preferably arranged to pass from the block, for example through an opening formed in the output wall or between the input and output walls. The projections may take a range of forms. Where serving as solar concentrators, they are preferably shaped in such a manner as to define an input side of, for example, substantially circular or elliptical shape and an output side of, for example, substantially square or rectangular shape. Whilst the aforementioned shapes are convenient, other shapes may be used. By way of example, the input and/or output sides may be of polygonal shape such as being of hexagonal shape, or they may be of non-regular shape. The photovoltaic device is preferably of substantially the same dimensions as the output side. The input sides of adjacent ones of the solar concentrators are preferably spaced apart from one another.","Patent application published","GB1705840.5","2017","No","Our technical impact has been very strong on the glass block industry wherein we have completely transformed a standard construction material into an innovative energy solution. Prototyping of our first product Solar Squared is in progress and we hope to complete it by August this year. Further new designs of the product are being developed for the next round of prototyping. Socially we have presented our product to the public, researchers and school children visiting the Environment &amp; Sustainability Institute at the University of Exeter. We have also participated in the stakeholder workshop on BIPV technologies organized by BRE. Through this workshop we have introduced our product to existing BIPV manufacturers and gathered their feedback, understand the wider challenges BIPV industry faces and unlock routes for future developments. 

The Solar Squared unit will improve the performance of a widely used building material (glass block). The function of architectural glass blocks is to allow daylighting, and lower artificial lighting loads. Thus, Build Solar have reduced the active cell area of the PV, while still pulling back efficiency and yield by concentrating incoming light. The power density at standard tests conditions is analogous to approx. 25 Wp/m2. This compares well with amorphous silicon and organic photovoltaics which also have a similar power density. 

With the addition of the concentrators and solar cells in the block, internal convective air currents are reduced which in turn improves the thermal insulation performance of the block versus the standard hollow version. The traditional glass block has a U-Value =2.8 W/m2 K. Solar Squared Glass Block aims to reduce this by up to 50 %. The improvement of U-Value to 1.4 W/m2 K will result in thermal energy savings of 0.51 kWh/annum/block. This equates to Year 1 savings of 69,700 kWh, the equivalent of 6 houses' energy demand. By year 4 this is 4,056,114 kWh or 347 houses (based on U-Value improvement from 2.8 to 1.4 W/m2 K, Year 1-unit sales of 136,400 units, year 5 unit sales of 7,937,600 units and an average UK household energy usage of 11,700 kWH p.a.). The CO2e savings equate to 24t CO2e saved in Year 1 rising to 1,425t CO2e by Year 4 (based on UK grid CO2e grid electricity of 0.35156kg CO2e/kWH, BEIS Carbon Factors 2017). The price per tonne of carbon saved equates to ?73k in Year 1 falling to just ?11k per tonne by Year 4. Assuming full market adoption to 114m glass blocks this results in carbon savings of over 20,000t per annum. The concentration concept is not new and has been proven in other concentrating solar technologies. In the case of Solar Squared, the team at Exeter have chosen a relatively low power concentrator which magnifies by a factor 3 - 6. This allows the concentrating lens to have a wide angle of acceptance (ca. half acceptance angle 35&deg;), meaning that contrary to typical high concentration application which need dual axis tracking, a vertically installed south facing Solar Squared array should be able to receive light for at least 7 hours a day. The Energy Payback Time of the system can be as low as 3yrs which is comparable to current rooftop PV technologies, something that current BIPV struggle to deliver. The Energy Return On Investment of Solar Squared is targeted to be less than 5 years with an estimated equivalent carbon footprint of 20g CO2e/kWh energy generated. Based on the BEIS toolkit for valuation of energy use the Year 4 energy savings have an NPV of?619,280 and an annualized NPV.",,"5aa69766394624.92017657","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/resources/outcome.html#?type=intellectualproperty&outcomeId=5aa69766394624.92017657&grantRef=EP%2FJ000345%2F1","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=EP/J000345/1","2DCAD7C5-4E5C-45B7-AD61-B0255E9E17F5","798CB33D-C79E-4578-83F2-72606407192C","E5A82D2C-5AD4-488A-ACFF-566345A5D6DA","124B11ED-4328-4198-8550-D4D78E05281F"
"EPSRC","EP/G030820/1","Research Grant","Intellectual Property","Heriot-Watt University","Sch of Engineering and Physical Science","Mallick","Tapas","","Construction Block with Photovoltaic Device","This invention relates to a construction block for use in a building, the block preferably being of transparent, light transmissive form, and which includes a photovoltaic device to permit the generation of electricity. The use of transparent, typically glass, blocks in buildings to form internal partitions whilst allowing light to pass through the partitions, or in the formation of sections of external walls which allow the transmission of light therethrough is well known. Such blocks are sometimes of solid glass form, but other arrangements in which the blocks are of hollow form are also known, such arrangements being advantageous in that they are of reduced weight and material cost. The incorporation of photovoltaic cells into or onto building structures to allow the generation of electricity is also well known. By way of example, large photovoltaic panels are often located upon or incorporated into the roofs of buildings or are mounted upon the external walls of buildings. Arrangements are known in which photovoltaic panels or cells are incorporated into glass blocks, alongside rechargeable batteries or the like and electrically operable light emitting devices such as light emitting diodes to form a solar powered light which may be incorporated into a structure, for example in the walls or floors thereof. However, in arrangements of this type, the panels or cells and other components substantially prevent the passage or transmission of light completely through the block, and so such devices are unsuitable for use in the formation of light transmitting wall or floor sections. Large solar cells are usually of opaque form and so incorporation of such panels or cells into a transparent block would prevent the block from allowing the transmission of light from one surface thereof to another. Clearly, therefore, the incorporation of large solar cells into transparent blocks intended for use in the construction of a light transmitting region or section of a wall, floor or partition is not appropriate. Arrangements are known in which solar collector devices are used to allow smaller dimension photovoltaic devices to be used and so allowing a quantity of light to pass completely through the block. Such arrangements allow the generation of electricity whilst being suitable for use in the construction of a light transmissive partition. Where used in part of an exterior wall of a building, it is desirable for a transparent block to not only allow the transmission of light between opposing surfaces thereof in order to achieved the desired function of admitting light to the building, but also for the block to be of good thermal insulating properties so as to avoid significantly negatively impacting upon the overall thermal insulating properties of the building in which they are used. Known arrangements are of relatively poor thermal insulating properties and so are unsuitable for use in such applications. It is an object of the invention to provide a block suitable for use in such applications and in which at least some of the disadvantages associated with known blocks are overcome or are of reduced effect. According to the present invention there is provided a block comprising an input wall and an output wall spaced apart from the input wall, a void being formed between the input wall and the output wall, wherein the input wall has a plurality of projections formed integrally therewith, the projections extending toward the output wall and serving to disrupt convection currents forming in the void, at least one of the projections comprising a solar concentrator which has a photovoltaic device mounted thereon. The projections preferably stop short of the output wall, but arrangements are possible in which they extend substantially to the position of the output wall, being spaced therefrom only by a sufficient distance to permit the mounting of the photovoltaic device thereon. It will be appreciated that in such an arrangement, as the photovoltaic device is mounted upon a solar concentrator, it need not be of large dimensions. Consequently, a significant quantity of light is able to pass the photovoltaic device, passing from the input wall to the output wall, and so the block is suitable for use in applications in which it is desired to allow light to enter a building, whilst still allowing electrical energy to be generated. By providing projections which disrupt the formation of convection currents in the void, the thermal insulating properties of the block are enhanced. The projections preferably extend to positions spaced from the input wall by at least 25% of the spacing between the input wall and the output wall. Preferably, they extend to positions spaced from the input wall by 30-60% of the said spacing. Such an arrangement is advantageous in that the formation of convection currents is significantly disrupted, in use, by the projections. At least one of the input wall and the output wall preferably has a peripheral wall formed integrally therewith, the peripheral wall extending towards the other of the input wall and the output wall. Preferably, peripheral walls are associated with both the input wall and the output walls, the peripheral walls engaging one another to space the input wall and the output wall apart from one another, the input wall, the output wall and the peripheral walls together defining the void. The peripheral walls may be cold fused to one another. However, if desired, other securing techniques may be used. The projections may be arranged in a regular array. However, other patterns may be used, if desired. When viewed from the input wall, the parts of the block formed with the solar concentrator(s) and photovoltaic device(s) will appear as dark spots or regions. By appropriate positioning of the projections, a desired visual appearance may be achieved. For example, the dark spots may be arranged to give the appearance of dark lines. If desired, certain of the projections may have no photovoltaic device associated therewith. Instead, they may have a coloured element associated therewith, with the result that the block appears to have coloured spots or regions thereon or therein. Again, by appropriate location of the projections, a desired visual appearance may be achieved. The outer face of the input wall may be shaped to include domed regions aligned with the projections. The domed regions may serve to increase the angle of incidence with which light is able to enter the projections. The output wall may be patterned to provide a desired visual effect. By way of example, it may be textured to provide an obscure glazed effect. Alternatively, through the use of coloured elements mounted upon the projections the block may give the effect of a series of coloured spots or pixels. Where a plurality of photovoltaic devices is present, they are conveniently connected together, and output conductors from the devices are preferably arranged to pass from the block, for example through an opening formed in the output wall or between the input and output walls. The projections may take a range of forms. Where serving as solar concentrators, they are preferably shaped in such a manner as to define an input side of, for example, substantially circular or elliptical shape and an output side of, for example, substantially square or rectangular shape. Whilst the aforementioned shapes are convenient, other shapes may be used. By way of example, the input and/or output sides may be of polygonal shape such as being of hexagonal shape, or they may be of non-regular shape. The photovoltaic device is preferably of substantially the same dimensions as the output side. The input sides of adjacent ones of the solar concentrators are preferably spaced apart from one another.","Patent application published","GB1705840.5","2017","No","Our technical impact has been very strong on the glass block industry wherein we have completely transformed a standard construction material into an innovative energy solution. Prototyping of our first product Solar Squared is in progress and we hope to complete it by August this year. Further new designs of the product are being developed for the next round of prototyping. Socially we have presented our product to the public, researchers and school children visiting the Environment &amp; Sustainability Institute at the University of Exeter. We have also participated in the stakeholder workshop on BIPV technologies organized by BRE. Through this workshop we have introduced our product to existing BIPV manufacturers and gathered their feedback, understand the wider challenges BIPV industry faces and unlock routes for future developments. 

The Solar Squared unit will improve the performance of a widely used building material (glass block). The function of architectural glass blocks is to allow daylighting, and lower artificial lighting loads. Thus, Build Solar have reduced the active cell area of the PV, while still pulling back efficiency and yield by concentrating incoming light. The power density at standard tests conditions is analogous to approx. 25 Wp/m2. This compares well with amorphous silicon and organic photovoltaics which also have a similar power density. 

With the addition of the concentrators and solar cells in the block, internal convective air currents are reduced which in turn improves the thermal insulation performance of the block versus the standard hollow version. The traditional glass block has a U-Value =2.8 W/m2 K. Solar Squared Glass Block aims to reduce this by up to 50 %. The improvement of U-Value to 1.4 W/m2 K will result in thermal energy savings of 0.51 kWh/annum/block. This equates to Year 1 savings of 69,700 kWh, the equivalent of 6 houses' energy demand. By year 4 this is 4,056,114 kWh or 347 houses (based on U-Value improvement from 2.8 to 1.4 W/m2 K, Year 1-unit sales of 136,400 units, year 5 unit sales of 7,937,600 units and an average UK household energy usage of 11,700 kWH p.a.). The CO2e savings equate to 24t CO2e saved in Year 1 rising to 1,425t CO2e by Year 4 (based on UK grid CO2e grid electricity of 0.35156kg CO2e/kWH, BEIS Carbon Factors 2017). The price per tonne of carbon saved equates to ?73k in Year 1 falling to just ?11k per tonne by Year 4. Assuming full market adoption to 114m glass blocks this results in carbon savings of over 20,000t per annum. The concentration concept is not new and has been proven in other concentrating solar technologies. In the case of Solar Squared, the team at Exeter have chosen a relatively low power concentrator which magnifies by a factor 3 - 6. This allows the concentrating lens to have a wide angle of acceptance (ca. half acceptance angle 35&deg;), meaning that contrary to typical high concentration application which need dual axis tracking, a vertically installed south facing Solar Squared array should be able to receive light for at least 7 hours a day. The Energy Payback Time of the system can be as low as 3yrs which is comparable to current rooftop PV technologies, something that current BIPV struggle to deliver. The Energy Return On Investment of Solar Squared is targeted to be less than 5 years with an estimated equivalent carbon footprint of 20g CO2e/kWh energy generated. Based on the BEIS toolkit for valuation of energy use the Year 4 energy savings have an NPV of?619,280 and an annualized NPV.",,"5aa69766394624.92017657","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/resources/outcome.html#?type=intellectualproperty&outcomeId=5aa69766394624.92017657&grantRef=EP%2FG030820%2F1","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=EP/G030820/1","F9309579-3D42-453D-8BDC-B79E09DEABD1","798CB33D-C79E-4578-83F2-72606407192C","E5A82D2C-5AD4-488A-ACFF-566345A5D6DA","124B11ED-4328-4198-8550-D4D78E05281F"
"MRC","MC_PC_13077","Intramural","Intellectual Property","University of Strathclyde",,"Winn","Philip","","Quasi-homogeneous Cassette System","A POC diagnostic; Quantilyte's target markets are veterinary diagnostics, human healthcare and food and water quality testing.","Patent application published","GB1401426.0","","Yes","2 employees in place",,"571a07ae13ac54.94673847","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/resources/outcome.html#?type=intellectualproperty&outcomeId=571a07ae13ac54.94673847&grantRef=MC_PC_13077","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=MC_PC_13077","693E81CD-8122-4EBF-AE35-6FAC0871E379","C008C651-F5B0-4859-A334-5F574AB6B57C","5BB4F8BF-B4E0-4EAF-9AF5-885E19D64850","8ED72725-BEBF-45B9-A9D3-8D9798C80F92"
"EPSRC","EP/L012278/1","Research Grant","Intellectual Property","Imperial College London","Department of Chemical Engineering","Hellgardt","Klaus","","Electrochemical Cell","The application of an electrochemical device to dispense disinfectant on-site and on-demand, thus minimising need for storage (safety) and transport.(reduce carbon footprint) of hazardous material.","Patent application published","GB1710655.0","2018","Commercial In Confidence","none",,"5aa67ea4aaa639.74381014","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/resources/outcome.html#?type=intellectualproperty&outcomeId=5aa67ea4aaa639.74381014&grantRef=EP%2FL012278%2F1","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=EP/L012278/1","596D6783-DA3B-41D4-95E8-7170A3A14A08","798CB33D-C79E-4578-83F2-72606407192C","46387D84-F71E-4B7D-8C7D-9C288F113510","C155AC72-504E-4982-B86E-029EC440765B"
"NERC","NE/I021179/1","Fellowship","Intellectual Property","Imperial College London","Life Sciences","Rosindell","James","","OneZoom registered trademark","The trademark OneZoom has now been registered in the USA and in the UK. It is my intention to grow this into a well known brand for public outreach and education on the subjects of evolution, biodiversity and conservation. Some of the activities around the trademark have been commercial, but the primary goal has always been to acquire funding to further develop the original vision of OneZoom into a project with an even greater impact.","Trade Mark",,"2014","Yes","Trademark was licensed alongside the associated software - OneZoom Tree of Life Explorer Interactive Kisok Software.",,"5456a0f0ad8be6.94952841","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/resources/outcome.html#?type=intellectualproperty&outcomeId=5456a0f0ad8be6.94952841&grantRef=NE%2FI021179%2F1","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=NE/I021179/1","E07F54A0-5A0E-4FF6-BF53-E2FB0D8651AF","8A03ED41-E67D-4F4A-B5DD-AAFB272B6471","46387D84-F71E-4B7D-8C7D-9C288F113510","01580066-69BF-4DDA-9AC1-EF7E4719585C"
"EPSRC","EP/K017950/1","Research Grant","Intellectual Property","Cranfield University","Sch of Applied Sciences","Zhu","Meiling","","METHOD OF CONTROLLING AN ENERGY HARVESTING SYSTEM","A method of controlling an energy harvesting system, comprising providing an energy storage device (121) and a plurality of energy harvesters (111); wherein each of the energy harvesters (111) is connectable to the energy storage device (121) thereby to transfer energy to the energy storage device (121); determining a load characteristic of an energy harvester (111); and controlling a transfer of energy from the energy harvester (111) to the energy storage device (121) in dependence on the determined load characteristic.","Patent application published","WO2018220406","2018","Commercial In Confidence","Looking for investors",,"5e3c05670e2803.83231963","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/resources/outcome.html#?type=intellectualproperty&outcomeId=5e3c05670e2803.83231963&grantRef=EP%2FK017950%2F1","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=EP/K017950/1","65464E92-E6C0-421A-97B9-58DD4ED538D1","798CB33D-C79E-4578-83F2-72606407192C","F45A4578-F962-4EFA-9CC1-9F2FF4F760AE","55FEC4DB-A38A-4BD8-BE2B-84291AAE18EF"
"EPSRC","EP/K017950/2","Research Grant","Intellectual Property","University of Exeter","Engineering Computer Science and Maths","Zhu","Meiling","","METHOD OF CONTROLLING AN ENERGY HARVESTING SYSTEM","A method of controlling an energy harvesting system, comprising providing an energy storage device (121) and a plurality of energy harvesters (111); wherein each of the energy harvesters (111) is connectable to the energy storage device (121) thereby to transfer energy to the energy storage device (121); determining a load characteristic of an energy harvester (111); and controlling a transfer of energy from the energy harvester (111) to the energy storage device (121) in dependence on the determined load characteristic.","Patent application published","WO2018220406","2018","Commercial In Confidence","Looking for investors",,"5e3c05670e2803.83231963","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/resources/outcome.html#?type=intellectualproperty&outcomeId=5e3c05670e2803.83231963&grantRef=EP%2FK017950%2F2","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=EP/K017950/2","BB2E079E-716F-401C-8C4E-A5DA4BDF9E46","798CB33D-C79E-4578-83F2-72606407192C","961756BF-E31F-4A13-836F-0A09BA02385C","55FEC4DB-A38A-4BD8-BE2B-84291AAE18EF"
"EPSRC","EP/K020331/1","Research Grant","Intellectual Property","University of Exeter","Engineering Computer Science and Maths","Zhu","Meiling","","METHOD OF CONTROLLING AN ENERGY HARVESTING SYSTEM","A method of controlling an energy harvesting system, comprising providing an energy storage device (121) and a plurality of energy harvesters (111); wherein each of the energy harvesters (111) is connectable to the energy storage device (121) thereby to transfer energy to the energy storage device (121); determining a load characteristic of an energy harvester (111); and controlling a transfer of energy from the energy harvester (111) to the energy storage device (121) in dependence on the determined load characteristic.","Patent application published","WO2018220406","2018","Commercial In Confidence","Looking for investors",,"5e3c05670e2803.83231963","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/resources/outcome.html#?type=intellectualproperty&outcomeId=5e3c05670e2803.83231963&grantRef=EP%2FK020331%2F1","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=EP/K020331/1","A62A8067-BF7C-4D5A-9BD9-4C56F7AEC420","798CB33D-C79E-4578-83F2-72606407192C","961756BF-E31F-4A13-836F-0A09BA02385C","55FEC4DB-A38A-4BD8-BE2B-84291AAE18EF"
"STFC","ST/N006712/1","Research Grant","Intellectual Property","CAB International","International Development (UK)","Luke","Belinda","","Leaf area index spatial scale conversion method and device","The device transforms spatial scale of leaf area index from first spatial resolution obtained by leaf area index remote sensing inversion model","Patent granted","CN201610158240","2016","No","The invention propose an innovative method for LAI retrieval at different scales",,"5c8b70a84b21e7.92376127","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/resources/outcome.html#?type=intellectualproperty&outcomeId=5c8b70a84b21e7.92376127&grantRef=ST%2FN006712%2F1","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=ST/N006712/1","D8ED9889-3E75-4B3B-9FDE-E379EA609DA9","D7F4F462-0518-4784-908A-D12633C139B3","E490E5D7-5135-4616-9441-60599EDD8191","B2BAB626-7EC9-4764-94AF-7A43895162A8"
