"Funding OrgName","Project Reference","ProjectCategory","Outcome Type","LeadRO Name","Department","PI Surname","PI First Name","PI Orcid iD","Outcome Title","Description","Type of Material","Software Developed?","Software Open Source?","Provided to Others?","Year Produced","Impact","Url","GTR OutcomeId","GTR Outcome URL","GTRProjectUrl","ProjectId","FundingOrgId","LeadROId","PIId"
"ESRC","ES/T00312X/1","Research Grant","Research Tools and Methods","Goldsmiths College","Anthropology","Philogene Heron","Adom","","Exposure, Vulnerability, Hazards (EVH) Rubric for Assessing Hurricane 'Resilience' at a Community level","Work Package 6 - Mapping Hurricane 'Resilience' 

Adapted an Exposure, Vulnerability, Hazards (EVH) Rubric for Assessing Hurricane 'Resilience' at a community level.","Improvements to research infrastructure","","","Yes","2020","EVH was developed by MGI as an adaptation of an Intergovernmental Panel on Climate Change (IPCC) method, where spatial parameters representing Exposures, Vulnerabilities and Hazards are combined. In cases where EVH values were statistically extreme, these were labelled as 'hot spots' (most vulnerable) at one end of the scale and 'cold spots' (lease vulnerable) at the other. 

- this method has underpinned the maps shared with CREAD and so is set to inform their current Community Disaster Management Plans. 

Method promotes community hurricane survival, wellbeing, ecological citizenship","https://survivingstorms.com/2021/03/23/transitions-geospatial-fieldwork-in-dominica/","6231194509e195.65661097","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/resources/outcome.html#?type=researchmaterial&outcomeId=6231194509e195.65661097&grantRef=ES%2FT00312X%2F1","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=ES/T00312X/1","4BF1CA08-0303-43F4-B997-A102DD01E6D5","924BE15C-91F2-4AAD-941A-3F338324B6AE","A9B1866C-EE3E-4D81-A83C-118745E9433E","B0EF4E11-A69A-4383-BF08-CE0F3A922F17"
"NERC","NE/S008950/1","Research Grant","Research Tools and Methods","University of Strathclyde","Law","Morgera","Elisa","","The 'Oceans for Life: a Coastal Community Blue Justice resource process' methodology and tools","One Ocean Hub research team in South Africa lead by Dr Jackie Sunde and Professor Merle Sowman (University of Cape Town) is using and developing a methodology namely the 'Oceans for Life: a Coastal Community Blue Justice resource process' methodology that is relevant for a developing country context as it is a human rights based, participatory research methodology that aims to simultaneously recognise local communities local ecological knowledge and build their advocacy capacities to ensure their rights are protected. 

It is a community and human-rights based approach to assessing and transforming Blue Economy development initiatives into life affirming processes that are equitable and sustainable. Hub researchers are in the process of applying and refining an oceans for life assessment tool and oceans for life action tool which we have developed over the past year. The tool has been applied in one of the University of Cape Town research team case study sites thus far. The purpose of this community-based tool is to provide an understanding of community vulnerability to ocean economy projects and ascertain the knowledge, skills and resources and actions needed to build resilience. 

This resource process includes two inter-linked components:

1. Oceans for Life Assessment Tool which is a dynamic, participatory, human- rights based assessment tool that enables coastal communities to assess Blue Economy developments from a human rights based perspective to check whether the development complies with international and national human rights laws and policies and will contribute to sustaining their lives and that of the ocean upon which they depend; and

2. Oceans for life action tool which equips coastal communities with the information and an array of resources that will assist them in ensuring that Blue Economy policies, developments and processes comply with relevant human rights and environmental legislation and strategies and activities to transform these development processes into actions that will contribute towards equitable and sustainable oceans and coastal life and livelihoods.","Improvements to research infrastructure","","","No","2021","This is work in progress. The Hub research team has developed a draft Tool and Methodology for Assessing the impact of Blue Economy projects on small-scale fisheries in South Africa. The tool and methodology have been piloted in one fisheries site but now requires additional testing and refinement during the course of 2022.",,"620be5f9a377d9.16505878","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/resources/outcome.html#?type=researchmaterial&outcomeId=620be5f9a377d9.16505878&grantRef=NE%2FS008950%2F1","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=NE/S008950/1","80E9F662-4CE4-4727-8362-9DBFFC23294D","8A03ED41-E67D-4F4A-B5DD-AAFB272B6471","5BB4F8BF-B4E0-4EAF-9AF5-885E19D64850","8100DA17-E142-4073-9536-FAE41FB791FB"
"NERC","NE/S00288X/1","Research Grant","Research Tools and Methods","Loughborough University","Architecture, Building and Civil Eng","Bosher","Lee","http://orcid.org/0000-0003-3888-0544","High-Performance Integrated hydrodynamic Modelling System (HiPIMS)","The High-Performance Integrated hydrodynamic Modelling System (HiPIMS) has been applied to support flood inundation modelling and risk assessment in the UK and developing countries including Vietnam, Nepal, Bangladesh, India, China, etc. through a number of UKRI research projects. 

In ValBGI, the HiPIMS is adopted to simulate the detailed flood hydrodynamics from multiple sources across Mekong river catchment and Can Tho city. A modelling component for simulating the full process (from detachment, transport and deposition) of non-point source pollutants driven by rainfall induced overland flow and flooding on urban surface has been developed and coupled to HiPIMS (Jiang et al. 2020).","Improvements to research infrastructure","","","Yes","2021","The improved HiPIMS is further integrated with a module to simulate different sustainable urban drainage (SuDS) devices and will be applied to assess role of BGI in flood risk mitigation in Can Tho city.","https://www.sciencedirect.com/science/article/abs/pii/S1364815220310082","603e1148eb0805.29376264","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/resources/outcome.html#?type=researchmaterial&outcomeId=603e1148eb0805.29376264&grantRef=NE%2FS00288X%2F1","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=NE/S00288X/1","E79FEE9D-74F4-48F5-8D32-198029733BD2","8A03ED41-E67D-4F4A-B5DD-AAFB272B6471","CAA9A40D-0226-4A4F-AC0D-D8299E30A1EF","6D5799EE-D959-48A3-9D7A-24BB2F943A1E"
"EPSRC","EP/F038542/1","Research Grant","Research Tools and Methods","University of Glasgow","School of Engineering","Campobasso","Michele Sergio","","COSA Harmonic Balance CFD code","The COSA Harmonic Balance and time-domain code is a Computational Fluid Dynamics code for the rapid analysis of wind and tidal turbine periodic flows. It can efficiently use very large high-performance computing resources to investigate challenging and outstanding problems of renewable energy fluid machinery. The code is installed and used on the UK National supercomputing service ARCHER and developed in collaboration with EPCC. The code has been used for many cutting-edge investigations into the unsteady fluid mechanics of horizontal axis and vertical axis renewable energy machines and more recently also for shedding new light and providing new design guidelines for the development of oscillating wings for the generation of tidal power.","Improvements to research infrastructure","","","Yes","2015","The COSA code has recently been used for investigating the potential of oscillating wings to efficiently harvest tidal power. This research has resulted in new findings, reported in the International Journal of Marine Energy in 2016, key to the development of energy harvesters with higher energy conversion efficiency.
The COSA code is now being used to resolve outstanding questions in the unsteady aerodynamics of horizontal axis wind turbines in yawed flows. The use of the harmonic balance technology for these analyses reduce computational costs by more than 50 times over conventional methods, enabling one to tackle with adequate fidelity problems which thus far could not be investigated thoroughly due to massive computing power requirements. Key publications on these aspects will be produced in the next 12 months.",,"58acc0431691c9.60962481","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/resources/outcome.html#?type=researchmaterial&outcomeId=58acc0431691c9.60962481&grantRef=EP%2FF038542%2F1","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=EP/F038542/1","75F7CAC1-6A0C-4ED8-AF51-31B5204B6647","798CB33D-C79E-4578-83F2-72606407192C","AE58F21F-3622-4382-97BB-1359BD183E9F","0538534D-8864-40CA-8AA1-416AAA0044E8"
"EPSRC","EP/I033351/1","Research Grant","Research Tools and Methods","University of Cambridge","Engineering","Evans","Steve","","Cambridge Value Mapping Tool","The Cambridge Value Mapping Tool has been developed to elicit failed value exchanges among multiple stakeholders in the network of the firm and uncover new value opportunities through a structured and visual approach. The tool assists in systematically analysing various forms of value in a business and network and stimulate innovation in sustainable value creation. The tool adopts a multi-stakeholder perspective, through which the exchange of value can be analysed and potential stakeholder conflicts identified to create positive value in the network. It provides a new perspective for practitioners to understand and create new economic, social, and environmental value from their business. The Cambridge Value Mapping Tool has been used in industry through a multitude of group workshops or in-house bespoke workshops. The tool is also used as teaching material at the University of Cambridge other academic institutions.","Improvements to research infrastructure","","","Yes","2013","The value mapping tool has been used in industry (practitioners at start-ups, SMEs, multinationals, PrISMS program) and with academic institutions (teaching material) through 30 workshops with participation ranging from 2 to 50 people.",,"5459f69e444807.39056100","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/resources/outcome.html#?type=researchmaterial&outcomeId=5459f69e444807.39056100&grantRef=EP%2FI033351%2F1","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=EP/I033351/1","55AB8CA6-FEC5-48D1-B3D8-13ED830934CC","798CB33D-C79E-4578-83F2-72606407192C","D1774113-D5D2-4B7C-A412-66A90FE4B96F","68F9AC3F-225C-4FAD-A645-C2F5A9BBB85A"
"NERC","NE/F017774/1","Research Grant","Research Tools and Methods","University of Southampton","School of Ocean and Earth Science","Copley","Jonathan","","new approach to assessing sea-floor mineral resources","development and implementation of seafloor drilling technology and remote sensing of marine resources.","Improvements to research infrastructure","","","Yes","2016","Increased efficiency and reduced cost of sea-floor mineral resource assessment and exploration.",,"58c9192aa86153.02323232","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/resources/outcome.html#?type=researchmaterial&outcomeId=58c9192aa86153.02323232&grantRef=NE%2FF017774%2F1","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=NE/F017774/1","110A2563-C81D-4B3C-992A-FDE7EDE0B1E2","8A03ED41-E67D-4F4A-B5DD-AAFB272B6471","30A429E3-83B7-4E41-99C0-14A144F07DFE","CDA6B89A-2D85-4CC2-9700-104285F96E06"
"EPSRC","EP/N010108/1","Research Grant","Research Tools and Methods","University College London","Bartlett Sch of Architecture","Cruz","Marcos","","Environmental monitoring and In-situ testing - growth and biomass","A comparable test of potential algae proliferation was done between different material samples and panels: 1) in Lab (80x80mm) - seeded and maintained with high relative humidity; 3) outdoor (200x200mm) - seeded and irrigated; 4) outdoor (500x1500mm) - seeded. This study was a first attempt to understand the complementary relationship between seeding process; &quot;nursery&quot; period (with regular irrigation); and moment of exposure in specific time of the year. In addition, a community dynamics test was done to compare the evolution of the microbial community when submitted to three different conditions: 1) in Lab (liquid cultures of individual and mix communities); 2) in Lab (80x80mm) - seeded and maintained with high relative humidity; 3) outdoor (200x200mm) - seeded and irrigated to maintain the panels wet; 4) outdoor (500x1500mm) - seeded. This test was carried out by means of metagenomics in which samples were collected at 4 different times. Moreover, data of the molecular analysis were analysed by bioinformatics, allowing for the characterization of microbial biodiversity after one year of exposure of 14 exposed points/samples. A further biofouling test was done on different small-scale panels.","Physiological assessment or outcome measure","","","No","2017","All the tests were rather inconclusive as there was hardly any growth evidence on the MPC panels during the research process. The 12 months of exposure were simply too short to understand the bioreceptive potential of MPC panels. More exhaustive analysis is required to understand the influence of time in promoting bioreceptivity, as well as how the the occurrence of struvites and boric acid crystals observed on the MPC panel surfaces has inhibited growth on the panels in this first period.",,"5a81b440265a07.10216152","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/resources/outcome.html#?type=researchmaterial&outcomeId=5a81b440265a07.10216152&grantRef=EP%2FN010108%2F1","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=EP/N010108/1","F971779A-C669-43D3-AF6F-B5D271C010F7","798CB33D-C79E-4578-83F2-72606407192C","3A5E126D-C175-4730-9B7B-E6D8CF447F83","EC0AB698-C97B-4593-AE99-F7CC7E107FA0"
"NERC","NE/M011186/1","Research Grant","Research Tools and Methods","National Oceanography Centre","Science and Technology","Murton","Bramley","","new approach to assessing sea-floor mineral resources","development and implementation of seafloor drilling technology and remote sensing of marine resources.","Improvements to research infrastructure","","","Yes","2016","Increased efficiency and reduced cost of sea-floor mineral resource assessment and exploration.",,"58c9192aa86153.02323232","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/resources/outcome.html#?type=researchmaterial&outcomeId=58c9192aa86153.02323232&grantRef=NE%2FM011186%2F1","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=NE/M011186/1","B816B273-7D9C-40A0-B6FE-465E8C8D5C36","8A03ED41-E67D-4F4A-B5DD-AAFB272B6471","4DB630C7-7E13-4610-A1C3-29601903CEE3","C046440D-3A13-47F5-A8B7-9FEEC288404D"
"EPSRC","EP/K002252/1","Research Grant","Research Tools and Methods","Imperial College London","Electrical and Electronic Engineering","Strbac","Goran","","Storage-for-Services (S4S)","This tool estimates the realisable revenue opportunities for energy storage participating in multiple markets.","Improvements to research infrastructure","","","No","","The model was used to inform a wider academic and industrial community about the potential for storage to earn revenues from multiple sources.",,"56dff887b53375.23157835","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/resources/outcome.html#?type=researchmaterial&outcomeId=56dff887b53375.23157835&grantRef=EP%2FK002252%2F1","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=EP/K002252/1","F436EECC-7C31-4DFC-8563-F60ACD76D51C","798CB33D-C79E-4578-83F2-72606407192C","46387D84-F71E-4B7D-8C7D-9C288F113510","27B40B02-5FD4-4344-9AD7-DA294127622B"
"EPSRC","EP/I033351/1","Research Grant","Research Tools and Methods","University of Cambridge","Engineering","Evans","Steve","","Principles - Pattern - Practice","Principle-Pattern-Practice is a design language for discussing a specific industrial system of a business with its partners, and for collectively envisioning future sustainable industrial systems. The purpose of this tool is to create a shared understanding among the diverse participants and decision makers involved in designing a sustainable industrial system. An industrial system can be collectively described and coherently understood in terms of its pattern, its set of principles, and the associated practice decisions. This tool helps identify the underlying principles of an industrial system based on manufacturing decisions. Through this tool, practitioners can discuss the manufacturing decisions (practice) and underlying principles of their current industrial system. They can then use this terminology to ideate about future sustainable industrial systems. The tool's ability to describe sustainable industrial systems is demonstrated for Industrial Symbiosis as an example in the accompanying figure.","Improvements to research infrastructure","","","No","","It is anticipated this tool will be tested in industry during 2016 and impacts will be reported then.",,"56387636ebda61.45326033","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/resources/outcome.html#?type=researchmaterial&outcomeId=56387636ebda61.45326033&grantRef=EP%2FI033351%2F1","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=EP/I033351/1","55AB8CA6-FEC5-48D1-B3D8-13ED830934CC","798CB33D-C79E-4578-83F2-72606407192C","D1774113-D5D2-4B7C-A412-66A90FE4B96F","68F9AC3F-225C-4FAD-A645-C2F5A9BBB85A"
"EPSRC","EP/L002566/1","Research Grant","Research Tools and Methods","De Montfort University","Institute of Energy and Sustainable Dev","Gammon","Rupert","","Solar Taxi field trial","Novel field trial undertaken in which electric vehicle (EV) was recharged entirely from solar-powered stand-alone minigrid, creating Africa's first solar-powered taxi service. Key elements of ESCoBox project, such as load dispatchability (for smart recharging of EV) and time-of-use (ToU) electricity tariffs, were fundamental to this pilot of a zero-emission energy and transport service delivery model. The vehicle used (a 5-seater e-NV200 minivan, donated to the project by Nissan Europe) has become a platform for testing the technical and commercial viability of this system in a number of market segments, from a local rural-to-urban taxi service to a premium tourist e-mobility service.","Improvements to research infrastructure","","","Yes","2021","At the time the Solar Taxi project was launched (July 2017), littel consideration was given to the use of EVs in developing world applications, let alone solar-recharged EVs. By 2021, the concept was becoming a common feature in schemes for providing energy access for productive uses in developing world applications.","https://www.frontiersin.org/articles/10.3389/fenrg.2020.563498/full","60475df0512673.39149033","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/resources/outcome.html#?type=researchmaterial&outcomeId=60475df0512673.39149033&grantRef=EP%2FL002566%2F1","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=EP/L002566/1","A45D25CE-53E0-4746-BCFC-066D772BD2FB","798CB33D-C79E-4578-83F2-72606407192C","DF259B19-FD17-4588-BFEF-AD08F1193451","7B2ED505-A03E-4298-B19C-DAAE64EA15C6"
"AHRC","AH/L008173/1","Research Grant","Research Tools and Methods","Open University","Faculty of Arts and Social Sci (FASS)","Smith","Joe","http://orcid.org/0000-0002-7674-6699","Culture and Climate Change: experiments in impact and engagement, Oxford University Geography Students group & RGS-IBG Regional Group, 31st October 2018","Participatory methods in interdisciplinary social science/humanities research","Improvements to research infrastructure","","","Yes","2018","(as reported elsewhere in researchfish): Citizen geography pilot programme planned for summer 2019",,"5c8bca42bd0080.95139591","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/resources/outcome.html#?type=researchmaterial&outcomeId=5c8bca42bd0080.95139591&grantRef=AH%2FL008173%2F1","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=AH/L008173/1","86001BAE-2D2A-44FE-AAE3-ED68C58268DD","1291772D-DFCE-493A-AEE7-24F7EEAFE0E9","89E6D9CB-DAF8-40A2-A9EF-B330A5A7FC24","B2E6FCDE-58E6-49A3-B736-6945B8946152"
"STFC","ST/G008787/1","Research Grant","Research Tools and Methods","University of Manchester","Physics and Astronomy","Cullen","David Matthew","","A new charge plunger device to measure the lifetimes of excited nuclear states with transitions dominated by internal conversion","The DPUNS plunger device has been adapted to allow for a different method of measuring nuclear lifetimes that does not rely on the detection of gamma rays. Instead, the charge state distribution of excited nuclei is detected as a function of plunger distance. This allows for the measurement of nuclear lifetimes that depopulate through transitions that have a low rate of gamma ray emission, such as a in super-heavy nuclei and low energy transitions, that would not have been possible with the standard DPUNS plunger approach.

This work is currently being prepared for publication.","Improvements to research infrastructure","","","Yes","2020","The application of the charge plunger technique to DPUNS will allow for lifetime measurements to be made in super-heavy nuclei that were not previously accessible. There are a lack of experimental lifetime measurements for excited states in super-heavy nuclei, while there are several motivations for obtaining them. The application of this method with the adapted DPUNS plunger will allow for shell-gaps and deformation in super-heavy nuclei to be determined.","http://www.doi.org/10.1016/j.nima.2020.164454","5e612428216501.63448984","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/resources/outcome.html#?type=researchmaterial&outcomeId=5e612428216501.63448984&grantRef=ST%2FG008787%2F1","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=ST/G008787/1","4D19A7C6-B17D-4C00-8D25-DCCFC387A222","D7F4F462-0518-4784-908A-D12633C139B3","68D0E3C9-9246-4CFC-B5E9-48584CF82993","99C41D61-B990-4324-B666-A7EB9D08E441"
"ESRC","ES/S002170/1","Research Grant","Research Tools and Methods","University of Portsmouth","Architecture","Caputo","Silvio","http://orcid.org/0000-0002-8344-0321","FEW-meter data gathering tool","As a first step of the FEW-meter project, the international team developed a method to gather data. The method consists in a list of indicators, modalities for data gathering and an analytical framework based on material flow analysis. The general methodology adopted is quantitative and qualitative, thus reflecting the assumption that social benefits, which will be captured through quantitative and qualitative data, are a significant output of urban gardening activities. The data collection method has been defined. A further step of development of the method will aim at organising a material flow analysis which also considers social benefits. Data collection for the first year (2019) ran from 1 March to 31 October and in the UK we collected data on water use; compost, fertiliser, seeds, pesticide use; harvest data and data on number of social and educational events held in the gardens during the year. We also measured all the infrastructure in each garden space to inform a later LCA for each garden and completed questionnaires with garden managers and volunteers. The data collection exercise will be repeated in 2020.","Improvements to research infrastructure","","","Yes","2019","The method was co-created with farmers, who showed positive engagement and an understanding of its usefulness. Having collected information on resource use and output, we are able to construct a dashboard for the website where farmers will be able to see metrics to assist them in planning their garden activities over the 2020 season. Some gardens have already queried how to reduce their water consumption per m2 based on the data we have presented back to them; others have thought again about their food production and how to improve this whilst maintaining their social programme as a primary objective. We plan to further develop the FEW-meter tool for use in other green spaces in cities so that gardeners are more aware of the impact of their current activities and seek to find ways to improve their own efficiency.","http://www.fewmeter.org","5c879273e73b84.29184664","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/resources/outcome.html#?type=researchmaterial&outcomeId=5c879273e73b84.29184664&grantRef=ES%2FS002170%2F1","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=ES/S002170/1","2C3AC079-2B9B-4840-BD8E-1AD021C51F85","924BE15C-91F2-4AAD-941A-3F338324B6AE","955C55E8-783E-4842-BB2C-2D275A3CAF82","E79522F1-4ACF-48F8-821E-80A935D7F23E"
"ESRC","ES/S002170/2","Research Grant","Research Tools and Methods","University of Kent","Kent Sch of Architecture","Caputo","Silvio","http://orcid.org/0000-0002-8344-0321","FEW-meter data gathering tool","As a first step of the FEW-meter project, the international team developed a method to gather data. The method consists in a list of indicators, modalities for data gathering and an analytical framework based on material flow analysis. The general methodology adopted is quantitative and qualitative, thus reflecting the assumption that social benefits, which will be captured through quantitative and qualitative data, are a significant output of urban gardening activities. The data collection method has been defined. A further step of development of the method will aim at organising a material flow analysis which also considers social benefits. Data collection for the first year (2019) ran from 1 March to 31 October and in the UK we collected data on water use; compost, fertiliser, seeds, pesticide use; harvest data and data on number of social and educational events held in the gardens during the year. We also measured all the infrastructure in each garden space to inform a later LCA for each garden and completed questionnaires with garden managers and volunteers. The data collection exercise will be repeated in 2020.","Improvements to research infrastructure","","","Yes","2019","The method was co-created with farmers, who showed positive engagement and an understanding of its usefulness. Having collected information on resource use and output, we are able to construct a dashboard for the website where farmers will be able to see metrics to assist them in planning their garden activities over the 2020 season. Some gardens have already queried how to reduce their water consumption per m2 based on the data we have presented back to them; others have thought again about their food production and how to improve this whilst maintaining their social programme as a primary objective. We plan to further develop the FEW-meter tool for use in other green spaces in cities so that gardeners are more aware of the impact of their current activities and seek to find ways to improve their own efficiency.","http://www.fewmeter.org","5c879273e73b84.29184664","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/resources/outcome.html#?type=researchmaterial&outcomeId=5c879273e73b84.29184664&grantRef=ES%2FS002170%2F2","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=ES/S002170/2","0D7C55C7-BE68-4FC1-B5F2-41174DC6DF77","924BE15C-91F2-4AAD-941A-3F338324B6AE","C6D0044A-2CD2-4167-B90B-922AF53E361F","E79522F1-4ACF-48F8-821E-80A935D7F23E"
"EPSRC","EP/P02534X/1","Research Grant","Research Tools and Methods","University of Cambridge","Engineering","Torrisi","Felice","","Layered materials and methods for their processing","The development of fibre-based electronic devices required an &quot;ad hoc&quot; method for producing nanoplates derived from a layered material, which could be incorporated with the textiles and fibres. In a joint effort SWIFT and WEVeING developed a patented method for the synthesis of nanoplatelets of layered materials optimised for the incorporation on fibres and textiles. Such a method is based on a solution based approach producing inks and dyes suitable for textile coating.","Technology assay or reagent","","","Yes","2021","This method will benefit textile manufacturers and industries operating in the wearable electronics sector (healthcare, sportswear and commodities) by providing a new method for the production of functional inks and coatings for advanced textiles. The inks have electrical and themal conductivity and are sensitive to visible light offering a platform of properties to enhance the functionality of textiles. The biocompatibility of the inks and their environmental stability combined with the sustainability of the process enable a robust life-cycle design of the electronic textiles.","https://patents.google.com/patent/US10906814B2/en","603e17a2674780.05755877","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/resources/outcome.html#?type=researchmaterial&outcomeId=603e17a2674780.05755877&grantRef=EP%2FP02534X%2F1","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=EP/P02534X/1","F6B8DBE8-1FA6-4E60-9AC9-1D6455F3B35C","798CB33D-C79E-4578-83F2-72606407192C","D1774113-D5D2-4B7C-A412-66A90FE4B96F","50301957-E3EF-4610-B717-969C31B8B068"
"MRC","MR/L01341X/1","Research Grant","Research Tools and Methods","Imperial College London","School of Public Health","Elliott","Paul","http://orcid.org/0000-0002-7511-5684","Development and validation of microplastic sampling method compatible with Raman spectral imaging","This was the development of a sampling method validation of such sampling method compatible with Raman spectral imaging (automated scanning, which provides spatial and compositional information) for this novel area of research. This is essential, as potential respirable microplastics have to be analysed directly in a sample; they are too small to be handled and transferred to appropriate substrate.","Physiological assessment or outcome measure","","","No","2017","Dr Wright's method development was essential to the field of study of air pollution and miocroplastics, as potential respirable microplastics have to be analysed directly in a sample; they are too small to be handled and transferred to appropriate substrate. I have trialled clean and PM-contaminated (4-24 h, urban site, London) filters comprised of either quartz, cellulose, aluminium, PTFE, or silver, spiking with polystyrene beads (4 and 10 &micro;m) as a positive control. The validation of such a method which Dr Wright developed, made possible only through pump priming money, as she has stated in his feedback, made possible his award of the UKRI Rutherford/Innovation Fund fellowship (&pound;630,159, FEC).",,"5aa8fffd197cf5.23497447","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/resources/outcome.html#?type=researchmaterial&outcomeId=5aa8fffd197cf5.23497447&grantRef=MR%2FL01341X%2F1","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=MR/L01341X/1","ACB0D5C4-7CA4-4EBA-91FB-948BC9697113","C008C651-F5B0-4859-A334-5F574AB6B57C","46387D84-F71E-4B7D-8C7D-9C288F113510","D966BB61-3D36-4457-A5A8-2DE10449224D"
"BBSRC","BBS/E/I/00001705","Intramural","Research Tools and Methods","The Pirbright Institute","UNLISTED","Nair","Venugopal","","CRISPR/Cas9-based gene editing pipeline for generation of recombinant herpesvirus vaccines or targeted editing","CRISPR/Cas9-based gene editing pipe line was established for rapid generation of recombinant herpesvirus vaccines, which involves the use of stable Cas-9 expressing cell lines or through transient Cas9 expression","Technology assay or reagent","","","Yes","2019","The major impact of this will be enabling advanced research in developing new innovative vaccines for successful and effective control of avian diseases for enhancing global food security","https://www.jove.com/video/58193/generating-recombinant-avian-herpesvirus-vectors-with-crisprcas9-gene","5e649975dbc541.33680857","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/resources/outcome.html#?type=researchmaterial&outcomeId=5e649975dbc541.33680857&grantRef=BBS%2FE%2FI%2F00001705","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=BBS/E/I/00001705","8D5F06C0-ED16-484C-A231-E9C6077A2928","2512EF1C-401B-4222-9869-A770D4C5FAC7","59EE6C94-CB2C-4AB3-9A0B-EAAF5A6550CD","DB3BCEAD-7AF1-453F-B56E-8CEA2199DA0F"
