"Funding OrgName","Project Reference","ProjectCategory","Outcome Type","LeadRO Name","Department","PI Surname","PI First Name","PI Orcid iD","Influence","Type of Influence","Guideline Title","Geographic Reach","Impact","Url","GTR OutcomeId","GTR Outcome URL","GTRProjectUrl","ProjectId","FundingOrgId","LeadROId","PIId"
"BBSRC","BB/R022755/1","Research Grant","Policy Influence","Keele University","Faculty of Natural Sciences","Bruce","Toby","http://orcid.org/0000-0002-9912-0605","COMMONS SCIENCE AND TECHNOLOGY COMMITTEE - Secured New Government inquiry into the role of science and technology in addressing challenges to food security and biodiversity","Participation in a advisory committee",,"Multiple continents/international","Successfully securing this inquiry will have an impact in raising awareness and improving political will to use science and technology to address challenges to food security and biodiversity. Agriculture has been neglected since the last Green Revolution in the 1960s and 21st Century challenges need to be taken more seriously. The Commons STC is a high level committee overseeing delivery of science across all government departments.

While the inquiry has not yet been launched, I am confident that it will make a difference to the areas highlighted above.

Here is our University press release, which has more details:

&quot;Professor Toby Bruce has secured a full Government inquiry into the role of science and technology in addressing challenges to food security and biodiversity, following his successful pitch to the House of Commons Science and Technology Committee in January.

Professor Bruce's pitch was one of just four chosen to be taken forward as a full Government inquiry. The committee has combined Professor Bruce's recommendations on food security and crop protection with a related topic on gene editing techniques from Nicola Patron of the Earlham Institute.

A report published this week by the Science and Technology Committee said: &quot;Professor Toby Bruce suggested that we should hold an inquiry into food security, the environment and crop protection. He suggested that an inquiry could look at the tools available to farmers to protect crops against pests, weeds and diseases, how these had changed over time, what changes were needed to ensure food security in the future and research investment in crop protection. We will incorporate this into an inquiry into the role of science and technology in addressing challenges to food security and biodiversity.&quot;

Professor Bruce said: &quot;I am delighted that 'My Science Inquiry' is being taken forward to a full inquiry and look forward to working with the Commons Science and Technology Committee. There is an urgent need for increased research and innovation to help improve food security and protect the environment. I hope that the forthcoming inquiry will be a catalyst for change and will help to address some serious limitations that currently impede our innovation system, particularly with respect to providing new options for protecting harvests from pests&quot;.

During the presentation of his research, Professor Bruce said: &quot;The choice we have at the moment is having to choose between food security and the environment, so we need to find a way forward in which we can safeguard our crops without environmental impact, partly through smarter regulation to bring more inventions into the market. There is a critical shortage of new treatments but there's also underinvestment in this area. It's a major challenge that we face this century, how do we feed the world without wrecking the environment in the process.&quot;

The Commons Science and Technology Committee will launch their inquiry into the role of science and technology in addressing challenges to food security and biodiversity within the next 12 months.&quot;","http://www.parliament.uk/business/committees/committees-a-z/commons-select/science-and-technology-committee/news-parliament-2017/my-science-inquiry-report-publication-17-19/","5c83a747a25671.71837558","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/resources/outcome.html#?type=policyinfluence&outcomeId=5c83a747a25671.71837558&grantRef=BB%2FR022755%2F1","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=BB/R022755/1","86D30A41-5FC4-45C1-9565-DA1456CDB907","2512EF1C-401B-4222-9869-A770D4C5FAC7","FC59975E-26E8-4A62-ABD8-A570DC6ABF06","9D7CBCCD-2C71-4D40-8361-B0E705C80FB2"
"NERC","bas0100035","Intramural","Policy Influence","NERC British Antarctic Survey",,"Tarling","Geraint","http://orcid.org/0000-0002-3753-5899","Antarctic marine environmental management","Participation in a advisory committee",,"Multiple continents/international","The Commission for the Conservation of Antarctic Marine Living Resources (CCAMLR) is a conservation body that, through international agreement (as part of the Antarctic Treaty System) has responsibility for the management of the marine living resources of the Southern Ocean. It acts as the de-facto regional fisheries management organisation (RFMO) across the Southern Ocean with responsibility for ensuring the sustainable management of the region's fish stocks. In practice, the remit of CCAMLR greatly exceeds that of an RFMO, as its primary objective is conservation. From the outset CCAMLR has adopted an ecosystem approach to fisheries management (EAFM) and therefore considers the broad environmental impacts of fishing in addition to sustainably managing target species.

BAS scientists continue to make substantial contributions to CCAMLR as part of the UK delegation, attending all of the scientific working groups, Scientific Committee and Commission meetings. BAS-authored scientific papers underpin much of the science advice that is adopted by CCAMLR. BAS provide the UK -FCDO and GSGSSI with scientific advice on a broad range of areas related to the management of the marine environment in the Southern Ocean helping to ensure the UK remains a leader in CCAMLR affairs. BAS Ecosystems scientist, Dr Sophie Fielding is in the first year of a three year term as convenor of the Working Group on Acoustics Survey and Analysis Methods. In 2020, all of the CCAMLR meeting were conducted online, with a focused agenda and BAS scientists participated fully. A key focus of the working groups was the development of a three-stranded approach to krill fishery management, which has been led by BAS scientists (Phil Trathan, Sophie Fielding, Simeon Hill and Vicky Warwick-Evans). BAS scientists Phil Trathan and Martin Collins also attended the CCAMLR Scientific Committee and Commission, with Susie Grant attending on behalf of SCAR (see below). An independent initiative to protect the Southern Ocean ecosystem from the potential effects of fishing involves a set of Voluntary Restricted Zones where the fishing industry refrains from fishing. These zones are established and updated by a Review Panel which is advised by an expert group of scientists, including Simeon Hill.

A unique initiative designed to enhance engagement between scientists, NGOs and the krill fishing industry (the Antarctic Wildlife Research Fund, AWR; www.antarcticfund.org/) provides research funds to undertake independent peer-reviewed science to enhance scientific understanding related to CCAMLR's objective. The AWR Scientific Advisory Group includes Phil Trathan who previously chaired the group for its first five years.",,"56defa46eb3897.18956963","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/resources/outcome.html#?type=policyinfluence&outcomeId=56defa46eb3897.18956963&grantRef=bas0100035","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=bas0100035","45F57C26-E7F4-40CD-B7DF-5D38767B3587","8A03ED41-E67D-4F4A-B5DD-AAFB272B6471","21CFC584-0BCD-450C-B2C1-EFF574194DBF","138BADBE-2FB1-4D7C-9444-DBD7AC82DF43"
"NERC","NE/M020347/1","Research Grant","Policy Influence","University of Cape Town","Environmental and Geographical Sciences","Hewitson","Bruce","","Climate change information input to the eThekwini biodiversity and climate change monitoring framework","Influenced training of practitioners or researchers",,"Local/Municipal/Regional",,,"5ca1c85e840cc0.54684795","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/resources/outcome.html#?type=policyinfluence&outcomeId=5ca1c85e840cc0.54684795&grantRef=NE%2FM020347%2F1","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=NE/M020347/1","D58159CB-50BF-4B60-BFE7-7570AAA5AC20","8A03ED41-E67D-4F4A-B5DD-AAFB272B6471","2C711771-B8F6-4CDF-9AC3-9FAB317463D9","7A3D9524-4FE2-4820-8F17-9FBCE2563A21"
"BBSRC","BBS/E/C/00005197","Intramural","Policy Influence","Rothamsted Research","Unlisted","McGrath","Stephen Paul","","EU-COST FA0905 Mineral improved crop production for healthy food and feed","Membership of a guideline committee",,"Asia",,"http://www.cost.eu/COST_Actions/fa/Actions/FA0905manual","55366fc82dfac0.47423744","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/resources/outcome.html#?type=policyinfluence&outcomeId=55366fc82dfac0.47423744&grantRef=BBS%2FE%2FC%2F00005197","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=BBS/E/C/00005197","33909F6C-5DB2-4668-9878-0FAFE05DA385","2512EF1C-401B-4222-9869-A770D4C5FAC7","ACD5F1CF-266C-4CDE-A399-43DC93429CF9","A71537F2-04A4-4C98-BB3D-0B64DD025C19"
"ESRC","ES/S008160/1","Research Grant","Policy Influence","World Conservation Monitoring Ctr WCMC","Science Unit","Burgess","Neil","http://orcid.org/0000-0003-2291-4535","Inputs into the Collaborative Partnership on Sustainable Wildlife Management's statement to the Informal Session of CBD SBSTTA 24, concerning indicators and datasets for the measurement of progress towards the post-2020 CBD Targets (A Joint Statement on the Agenda Item 3: Post-2020 Global Biodiversity Framework)","Implementation circular/rapid advice/letter to e.g. Ministry of Health",,"Multiple continents/international",,"https://www.cbd.int/doc/interventions/604260b4c3c8ca0001e792dc/CPW%20joint%20statement_post2020GBF_informal%20session%20SBSTTA24.pdf","6049f872841312.18716833","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/resources/outcome.html#?type=policyinfluence&outcomeId=6049f872841312.18716833&grantRef=ES%2FS008160%2F1","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=ES/S008160/1","D18DFBAF-49DE-4450-BBAB-8944BB4486C8","924BE15C-91F2-4AAD-941A-3F338324B6AE","A6506354-2A10-47E9-B0DF-5AC4EDDD4C97","CD0A92C9-887B-4968-AA9E-B62C4DBFE28D"
"ESRC","ES/G035989/1","Research Grant","Policy Influence","University of East Anglia","Environmental Sciences","Bateman","Ian","http://orcid.org/0000-0002-2791-6137","Economic analysis of ecosystem services : the UK experience","Citation in other policy documents",,"National","Influence on Defra's Natural Environment White Paper presented at the Wealth Accounting and Valuation of Ecosystem Services (WAVES) Partnership Meeting, The World Bank, Washington DC, 29th - 31st March 2011.",,"r-3011671018.7975984d23d5fdc","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/resources/outcome.html#?type=policyinfluence&outcomeId=r-3011671018.7975984d23d5fdc&grantRef=ES%2FG035989%2F1","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=ES/G035989/1","E2CC2D6A-3D96-4CEB-B71B-169CA70D7A50","924BE15C-91F2-4AAD-941A-3F338324B6AE","88C5F7F9-8DCC-41C9-BC4F-F37DA01075C7","8273D834-5632-484D-AAD3-63830314AE7B"
"ESRC","ES/S008179/1","Research Grant","Policy Influence","Newcastle University","Sch of Engineering","Dawson","Richard","http://orcid.org/0000-0003-3158-5868","Ecosystem Services Payments with governance approach in Jamundi City (Colombia)","Participation in a advisory committee",,"Local/Municipal/Regional",,,"60474f034841a9.65838965","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/resources/outcome.html#?type=policyinfluence&outcomeId=60474f034841a9.65838965&grantRef=ES%2FS008179%2F1","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=ES/S008179/1","A8B266A9-EAF4-4196-8F19-645E90537E65","924BE15C-91F2-4AAD-941A-3F338324B6AE","5E2B04DD-4A03-45ED-9892-61C5CCB8AC68","5E1569E2-4B9C-4DAD-848A-7C2F6BD3CB02"
"NERC","ceh020001","Intramural","Policy Influence","NERC Centre for Ecology and Hydrology",,"Reis","Stefan","","CEH submitted written evidence to the Scottish Parliament's Environment, Climate Change and Land Reform Committee Inquiry into air quality in Scotland.","Gave evidence to a government review",,"Local/Municipal/Regional",,,"5a7da087dcc8e2.28200747","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/resources/outcome.html#?type=policyinfluence&outcomeId=5a7da087dcc8e2.28200747&grantRef=ceh020001","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=ceh020001","550D7504-6C8D-43AB-9466-D59594ED3C7A","8A03ED41-E67D-4F4A-B5DD-AAFB272B6471","4FC881BE-799E-459C-A287-2A68170426DA","098DF01A-CA51-481B-ABE0-C5DB24AB938B"
"NERC","NE/L008750/1","Research Grant","Policy Influence","National Oceanography Centre","Science and Technology","Popova","Ekaterina","","Securing sustainable small-scale fisheries: sharing good practices from around the world Cited by Food and Agriculture Organization of the United Nations on 01 Feb 2019 (citing Hobday et al., 2016)","Citation in other policy documents",,"Multiple continents/international","Our study has been used as a case study example in an FAO report Securing sustainable small-scale fisheries: sharing good practices from around the world
FAO Fisheries and Aquaculture Technical Paper No. 644. This document includes eight studies showcasing good practices in support of sustainable small-scale fisheries. FAO commissioned these studies aiming to share experiences and promote the implementation of the Voluntary Guidelines for Securing Sustainable Small-Scale Fisheries in the Context of Food Security and Poverty Eradication (SSF Guidelines). The case studies were also intended to promote participatory approaches - in line with the SSF Guidelines principles - and to promote increased interaction between research and fishing communities, including the use of traditional knowledge and participatory research. It is hoped that the case studies will inform policy and policy processes and, in this way, promote sustainable small-scale fisheries according to the SSF Guidelines and the human rights-based approach to development (HRBA). The case studies constitute a rich selection of experiences and are diverse, not only with regard to their geographical setting but also in scope and approach. They span from looking at one specific tool for sharing experiences (the fisheries learning exchanges methodology in Madagascar and Mozambique) or examining the enabling environment in a specific thematic area (disaster risks in Bangladesh), to regional policy formulation on small-scale fisheries (the SSF Guidelines protocol for Caribbean policies) and reflection on how to use the SSF Guidelines in participatory processes (the Myanmar step-by-step approach to discussions with small-scale fisheries communities). A few of the papers look at co-management, in some cases combining fisheries management and social development (Senegal, Uruguay and Nepal), with one focusing on the role of small-scale fisheries and community organizations (India). Generally, the case studies refer to HRBA but, perhaps because many of the activities have taken place in the past, it seems that HRBA has rarely been consciously and explicitly implemented. Still, the case studies bear witness to a number of experiences and practices that are clearly steps in the right direction. Key good practices emerging from the studies refer to, among other things, holistic approaches to co-management and social responsibility; broad engagement, inclusiveness and partnerships; the power of communication; and gender equality and the role of women. As more experience is gained, our knowledge of how to go about implementing the SSF Guidelines will
improve and nurture new and continued initiatives. For the present and the future, efforts should be made to apply HRBA, while continuing to share experiences and good practices showing how to do so when implementing the SSF Guidelines.","http://www.fao.org/documents/card/en/c/CA3041EN","604243d28f9d95.27865882","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/resources/outcome.html#?type=policyinfluence&outcomeId=604243d28f9d95.27865882&grantRef=NE%2FL008750%2F1","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=NE/L008750/1","3793BD7F-091A-45D4-9111-57CCEC4F5539","8A03ED41-E67D-4F4A-B5DD-AAFB272B6471","4DB630C7-7E13-4610-A1C3-29601903CEE3","813F6E5A-7C55-44B1-BC26-C77FF12DBD2C"
"NERC","pml010009","Other Grant","Policy Influence","Plymouth Marine Laboratory",,"Allen","Icarus","","PML written and oral (Carol Turley) evidence to House of Commons Science and Technology Committee inquiry into ocean acidification","Gave evidence to a government review",,"National",,"https://www.parliament.uk/business/committees/committees-a-z/commons-select/science-and-technology-committee/inquiries/parliament-2015/inquiry5/publications/","58b85b99b7b1c1.44286796","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/resources/outcome.html#?type=policyinfluence&outcomeId=58b85b99b7b1c1.44286796&grantRef=pml010009","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=pml010009","948A5562-6BE1-48FE-B392-64D39C010339","8A03ED41-E67D-4F4A-B5DD-AAFB272B6471","EEF9EA95-341D-48C2-8A68-B838D35497C8","7300F58C-5309-42D5-A146-F806C5FA7814"
"NERC","NE/P006698/1","Fellowship","Policy Influence","Plymouth Marine Laboratory","Plymouth Marine Lab","Turley","Carol","","Co-author of a Foresight Future of the Sea project on ocean acidification, Government Office for Science","Gave evidence to a government review",,"Local/Municipal/Regional",,,"58b85d88335dc1.57605989","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/resources/outcome.html#?type=policyinfluence&outcomeId=58b85d88335dc1.57605989&grantRef=NE%2FP006698%2F1","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=NE/P006698/1","A75ED442-3069-44F9-A911-52D5AD546644","8A03ED41-E67D-4F4A-B5DD-AAFB272B6471","EEF9EA95-341D-48C2-8A68-B838D35497C8","0F69C48C-3CF7-4EAE-9695-A6679269E186"
"MRC","MR/K006533/1","Research Grant","Policy Influence","Liverpool School of Tropical Medicine","Clinical Sciences","Gordon","Stephen","http://orcid.org/0000-0001-6576-1116","Citation in WHO Guidelines for Indoor Air Quality","Citation in clinical guidelines","WHO Guidelines for Indoor Air Quality","Africa",,,"56d973d29571e5.59398415","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/resources/outcome.html#?type=policyinfluence&outcomeId=56d973d29571e5.59398415&grantRef=MR%2FK006533%2F1","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=MR/K006533/1","8E08BE57-679E-4327-9F3C-7F3224C3BFAA","C008C651-F5B0-4859-A334-5F574AB6B57C","3ED60B49-9C2B-4D71-B644-96CCC7F10194","02405512-3310-4E12-AF21-E7777A3BEA1B"
"NERC","NE/W000474/1","Research Grant","Policy Influence","University of Plymouth","Sch of Geog Earth & Environ Sciences","Selby","Ian","http://orcid.org/0000-0003-2573-1355","Provided guidance and influence for emerging marine mineral policy and sustainable practices in the Philippines.","Contribution to new or Improved professional practice",,"Asia","Management and mitigation of environmental impacts associated with marine mineral extraction",,"621e2e53045cd7.12146555","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/resources/outcome.html#?type=policyinfluence&outcomeId=621e2e53045cd7.12146555&grantRef=NE%2FW000474%2F1","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=NE/W000474/1","0C9700DB-C6F2-4777-9E4B-CEC284AE86FC","8A03ED41-E67D-4F4A-B5DD-AAFB272B6471","7801F008-7C77-45E7-90E9-4345B47D138E","88C185DF-024F-413F-924F-FA177E95811E"
"ESRC","ES/T014881/1","Research Grant","Policy Influence","University of Surrey","Centre for Environment & Sustainability","Jackson","Tim","","Aligning the UK's economic goals with environmental sustainability | EAC inquiry","Gave evidence to a government review",,"National","Tim Jackson giving evidence to UK Parliament on the limits to GDP and ways to measure real progress","https://cusp.ac.uk/themes/aetw/eac-beyondgdp-oral-evidence/","620d0c148e8e66.02510078","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/resources/outcome.html#?type=policyinfluence&outcomeId=620d0c148e8e66.02510078&grantRef=ES%2FT014881%2F1","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=ES/T014881/1","5C3AC394-7417-48AE-A540-6CB78D1D86AC","924BE15C-91F2-4AAD-941A-3F338324B6AE","67B34D05-3A52-4A09-8FF9-F2398D60E246","99EFBCFF-FAF1-48B2-9C4F-CF4C6BCD8632"
"EPSRC","EP/N017064/1","Research Grant","Policy Influence","University of Oxford","Environmental Change Institute SoGE","Hall","Jim","http://orcid.org/0000-0002-2024-9191","Invitation from Fuzhou (China) to contribute to policy briefs such as this one: International Expert Meeting on Sustainable Infrastructure (22/10/2018 - 23/10/2018)","Influenced training of practitioners or researchers",,"Multiple continents/international","Lead paper on a framework for assessing tools and methodologies that enable strategic planning of infrastructure to meet the sustainable development goals:
Implementing an integrated approach to infrastructure (moderator Matteo TARANTINO, UNIGE)
• Panel Discussion: Examples of an integrated approach in practice 

? Outputs &amp; outcomes:
This meeting will involve consulting with the participants of the Fuzhou Group (those who attended the symposium) to build a broad and inclusive framework.
Following the meeting
The ITRC/Mistral has been invited to contribute to policy briefs such as this one: http://www.greengrowthknowledge.org/resource/mainstreaming-biodiversity-infrastructure-sector-fostering-system-level-approaches
• Will Usher (ITRC) will lead a paper on a framework for assessing tools and methodologies that enable strategic planning of infrastructure to meet the sustainable development goals. This will involve consulting the participants of the Fuzhou Group (those attended the symposium) to build a broad and inclusive framework

? Links: http://www.greengrowthknowledge.org/event/international-expert-meeting-sustainable-infrastructure
http://www.greengrowthknowledge.org/resource/mainstreaming-biodiversity-infrastructure-sector-fostering-system-level-approaches

External participants:
General: 
? School of Economics, Fujian Normal University (Hosts)
? United Nations Environment Programme (Co-organized)
Panel Discussion: Examples of an integrated approach in practice 
? Vincent NADIN, TU Delft
? Anuradha RAMASWAMI, University of Minnesota
? DONG Zhanfeng, Chinese Academy of Environmental Planning (CAEP)

Internal participant:
Usher W","http://www.greengrowthknowledge.org/resource/mainstreaming-biodiversity-infrastructure-sector-fostering-system-level-approaches","5bfbef34879356.61170744","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/resources/outcome.html#?type=policyinfluence&outcomeId=5bfbef34879356.61170744&grantRef=EP%2FN017064%2F1","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=EP/N017064/1","55486ADB-5882-4A5B-AAE7-B981CC91A4BB","798CB33D-C79E-4578-83F2-72606407192C","3EAE04CA-9D62-4483-B9C4-F91AD9F4C5A9","87375C3E-B225-4673-97F3-11C566ED0D4F"
"NERC","NE/J024082/1","Research Grant","Policy Influence","Scottish Association For Marine Science","Scottish Association For Marine Science","Burrows","Michael","","Referee for Intergovernmental Panel of Climate Change","Membership of a guidance committee",,"Multiple continents/international","IPCC relies on refereeing and improving earlier drafts. My inputs improved the final document. Without such refereeing and advise IPCC would be less widely accepted by the UN, EU and all national governments. Thus, this activity has a major influence on policy by ensuring high quality evidence is used.",,"5461e4988ce9f1.46743472","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/resources/outcome.html#?type=policyinfluence&outcomeId=5461e4988ce9f1.46743472&grantRef=NE%2FJ024082%2F1","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=NE/J024082/1","38A6207F-5F47-4BE9-B8A5-7635120ADECB","8A03ED41-E67D-4F4A-B5DD-AAFB272B6471","1ED25A21-FD91-4EC2-A06F-724F9F2CDC3D","3A10452F-D7E7-4C4C-8D4C-84C6DD9E7390"
"NERC","NE/H001913/1","Research Grant","Policy Influence","Royal Botanic Gardens Edinburgh","Genetics and Conservation","Hollingsworth","Peter","","Scottish Code for Conservation Translocations","Participation in advisory committee",,"National","The Scottish Translocation Code has been formally adopted by 26 organisations from the Land-use, Science and Conservation Sectors in Scotland. The Code was launched by Paul Wheelhouse MSP (Minister for the Environment and Climate Change). The Code is non-statutory in nature, but as it is aligned with the SNH licensing process for translocations is serves to guide decision making on licence applications (and hence has a statutory outcome)",,"5464990935f195.74373645","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/resources/outcome.html#?type=policyinfluence&outcomeId=5464990935f195.74373645&grantRef=NE%2FH001913%2F1","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=NE/H001913/1","6C1D4D11-B6EC-4D00-A5AA-14702B40CF5E","8A03ED41-E67D-4F4A-B5DD-AAFB272B6471","2794C7D9-0FD5-4DC9-848C-0CED200F6D2D","8EBE84A1-CF51-4280-902D-9E4D4536006A"
"EPSRC","EP/N017064/1","Research Grant","Policy Influence","University of Oxford","Environmental Change Institute SoGE","Hall","Jim","http://orcid.org/0000-0002-2024-9191","United Nations Nexus Dialogue on Sustainable Infrastructure. Geneva (26/02/2019)","Participation in a advisory committee",,"Multiple continents/international","? Outputs &amp; outcomes:
The dialogue produced an Outcome Statement on how integrated approaches can help to deliver the 2030 Agenda.
The coming decades will require large amounts of investment in new and existing infrastructure. The Organisation for Economic Co-operation and Development (OECD) estimates that an annual average of USD 6.9 trillion in infrastructure investment until 2030 is required to support global development. The bulk of this investment is taking place in developing countries, including fragile low-income economies and emerging economies, and is driven by a lack of development and infrastructure needed to meet the 2030 Agenda and the SDGs, population growth, increased income levels, and rapid urbanization in the context of growing inequality and climate change.
This Outcome Statement reflects the discussions held during the Nexus Dialogue on sustainable infrastructure that was organized by the UN Environment Management Group and UN Environment's Sustainable Infrastructure Partnership. It has benefitted from the inputs of colleagues from Duke University, ETH Zurich, GGGI, GGKP, GLO, ILO, ITRC at the University of Oxford, IUCN, OECD, OHCHR, UNECE, UNEMG, UN Environment, UNEP-WCMC, UNDP, UNIDO, UNISDR, UNITAR, the University of Geneva, UNOPS, UN Women, and WWF.

External Participants:
? UN Environment Management Group
? UN Environment's Sustainable Infrastructure Partnership

Internal participants:
ITRC Group

? Link: https://unemg.org/wp-content/uploads/2019/04/EMG-Nexus_Sustainable-Infrastructure_Outcome-Statement.pdf","https://unemg.org/wp-content/uploads/2019/04/EMG-Nexus_Sustainable-Infrastructure_Outcome-Statement.pdf","5cdeb8fd231736.12534734","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/resources/outcome.html#?type=policyinfluence&outcomeId=5cdeb8fd231736.12534734&grantRef=EP%2FN017064%2F1","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=EP/N017064/1","55486ADB-5882-4A5B-AAE7-B981CC91A4BB","798CB33D-C79E-4578-83F2-72606407192C","3EAE04CA-9D62-4483-B9C4-F91AD9F4C5A9","87375C3E-B225-4673-97F3-11C566ED0D4F"
"NERC","NE/M00693X/1","Research Grant","Policy Influence","National Oceanography Centre","Science and Technology","Popova","Ekaterina","","Securing sustainable small-scale fisheries: sharing good practices from around the world Cited by Food and Agriculture Organization of the United Nations on 01 Feb 2019 (citing Hobday et al., 2016)","Citation in other policy documents",,"Multiple continents/international","Our study has been used as a case study example in an FAO report Securing sustainable small-scale fisheries: sharing good practices from around the world
FAO Fisheries and Aquaculture Technical Paper No. 644. This document includes eight studies showcasing good practices in support of sustainable small-scale fisheries. FAO commissioned these studies aiming to share experiences and promote the implementation of the Voluntary Guidelines for Securing Sustainable Small-Scale Fisheries in the Context of Food Security and Poverty Eradication (SSF Guidelines). The case studies were also intended to promote participatory approaches - in line with the SSF Guidelines principles - and to promote increased interaction between research and fishing communities, including the use of traditional knowledge and participatory research. It is hoped that the case studies will inform policy and policy processes and, in this way, promote sustainable small-scale fisheries according to the SSF Guidelines and the human rights-based approach to development (HRBA). The case studies constitute a rich selection of experiences and are diverse, not only with regard to their geographical setting but also in scope and approach. They span from looking at one specific tool for sharing experiences (the fisheries learning exchanges methodology in Madagascar and Mozambique) or examining the enabling environment in a specific thematic area (disaster risks in Bangladesh), to regional policy formulation on small-scale fisheries (the SSF Guidelines protocol for Caribbean policies) and reflection on how to use the SSF Guidelines in participatory processes (the Myanmar step-by-step approach to discussions with small-scale fisheries communities). A few of the papers look at co-management, in some cases combining fisheries management and social development (Senegal, Uruguay and Nepal), with one focusing on the role of small-scale fisheries and community organizations (India). Generally, the case studies refer to HRBA but, perhaps because many of the activities have taken place in the past, it seems that HRBA has rarely been consciously and explicitly implemented. Still, the case studies bear witness to a number of experiences and practices that are clearly steps in the right direction. Key good practices emerging from the studies refer to, among other things, holistic approaches to co-management and social responsibility; broad engagement, inclusiveness and partnerships; the power of communication; and gender equality and the role of women. As more experience is gained, our knowledge of how to go about implementing the SSF Guidelines will
improve and nurture new and continued initiatives. For the present and the future, efforts should be made to apply HRBA, while continuing to share experiences and good practices showing how to do so when implementing the SSF Guidelines.","http://www.fao.org/documents/card/en/c/CA3041EN","604243d28f9d95.27865882","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/resources/outcome.html#?type=policyinfluence&outcomeId=604243d28f9d95.27865882&grantRef=NE%2FM00693X%2F1","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=NE/M00693X/1","B5F089F0-103F-4460-BA01-1B7A031C9624","8A03ED41-E67D-4F4A-B5DD-AAFB272B6471","4DB630C7-7E13-4610-A1C3-29601903CEE3","813F6E5A-7C55-44B1-BC26-C77FF12DBD2C"
