"Funding OrgName","Project Reference","ProjectCategory","Outcome Type","LeadRO Name","Department","PI Surname","PI First Name","PI Orcid iD","Outcome Title","Type","Current Stage of Development","Clinical Trial?","UKCRN/ISCTN ID","Year Development Stage Completed","Development Status","Description","Impact","Url","GTR Outcome URL","GTR OutcomeId","GTRProjectUrl","ProjectId","FundingOrgId","LeadROId","PIId"
"MRC","MC_PC_15101","Intramural","Products Interventions & Clinical Trials","University of Liverpool",,"Griffiths","Michael","","Refinement of Zika PRNT diagnostic assay","Diagnostic Tool - Non-Imaging","Refinement.  Non-clinical","",,"2017","Actively seeking support","Refinement of plaque reduction neutralisation test (PRNT) for Zika virus 
Refined methodology to speed up read-out from PRNT
Refined methodology to reduce inter and intra user variation in test 
Translating refined methodology back to local (South American) laboratories to establish as Zika diagnostic reference test","None as yet. Potential to lead to establishment of more sustainable / reliable PRNT in local laboratories. In current absence of alternative accurate serological could improve accuracy of diagnosis of Zika patients - particularly among patients presenting after 10 days from acute illness (when PCR for Zika virus unreliable). This would be particularly useful for patients with neurological complications of Zika or mothers of suspected newborn microcephaly cases (both patient groups often present after 10 days from acute illness).",,"58c99b634462a1.29061135","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/resources/outcome.html#?type=productintervention&outcomeId=58c99b634462a1.29061135&grantRef=MC_PC_15101","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=MC_PC_15101","B5786E90-2193-4C0F-A705-C1FA1A2E27C2","C008C651-F5B0-4859-A334-5F574AB6B57C","A0A585E0-6B0D-4643-A3A6-47943B4CBFEF","68635DF8-EC1C-47E0-91B1-4DB473AE5165"
"ESRC","ES/W006367/1","Research Grant","Products Interventions & Clinical Trials","University of East Anglia","School of Health Sciences","Lazar","Alpar","","Enhanced Sleep Education (ESE)","Therapeutic Intervention - Psychological/Behavioural","Small-scale adoption","",,"2022","Under active development/distribution","The Enhanced Sleep Education (ESE) intervention is a psychoeducation-based intervention which combines several different previously established sleep interventions into one 15-minute presentation. The intervention discusses elements of sleep education, sleep hygiene, behavioural theories, and mindfulness. ESE provides information to help individuals better understand the biological, environmental, and psychological factors that influence their sleeping patterns and recommendations to help them improve their sleep quality and duration.","This product has been developed but the first feasibility and acceptability trial has just started.",,"62320dd2ee96a9.27947064","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/resources/outcome.html#?type=productintervention&outcomeId=62320dd2ee96a9.27947064&grantRef=ES%2FW006367%2F1","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=ES/W006367/1","A06D1514-4F8F-4EB5-BBEA-D11E3962A68B","924BE15C-91F2-4AAD-941A-3F338324B6AE","88C5F7F9-8DCC-41C9-BC4F-F37DA01075C7","8AEFA83E-E037-42DE-92F8-C1654C1A5D0E"
"EPSRC","EP/P00993X/1","Research Grant","Products Interventions & Clinical Trials","Imperial College London","Electrical and Electronic Engineering","Georgiou","Pantelis","","Phase 1 observational study for ARISES interface","Management of Diseases and Conditions",,"",,"2019","Under active development/distribution","Clinical physiological and environmental data collection (Phase 1)

The adaptive real time intelligent system to enhance self-care of chronic disease (ARISES) is a novel platform capable of collecting data from multiple sources to empower people to effectively self-manage type 1 diabetes (T1DM) through therapeutic and lifestyle decision support (figure 1). Combining wearable sensors and smartphone technology, a range of biological, environmental and behavioural data will feedback into an artificial intelligence algorithm to output real-time decision support.

The first phase of clinical trials will recruit 12 individuals with T1DM for a six-week observational study. This study will serve as a training set using wearable technologies to collect data and evaluate blood glucose correlations against physiological and environmental case parameters. Useful associations will assist the development of the ARISES algorithm and identify wearable devices for the final ARISES platform. This study will also provide questionnaire and feasibility outcomes for combining both CGM and a physiological data acquisition sensor. 

Glucose levels will be monitored using Dexcom G6 real-time continuous glucose monitoring (RT CGM). Physiological parameters (heart rate, blood volume pulse, skin temperature, motion and sympathetic activity, and electrodermal activity) will be monitored using the Empatica E4 wristband. Data from both wearable devices will be uploaded anonymously to a safe cloud-based server for analysis. Participants will be asked to log manual data inputs (e.g. exercise details, meal macronutrients, alcohol content and illness) into the mySugr smartphone applications for retrospective analysis. On completion of the study, location and ambient temperature data will be retrospectively accessed from myTracks app and smartphone location features.","We will have physiological data including glucose, heart rate, activity, skin temperature over a 6 week period in 10 people with diabetes. This study will serve as a training set using wearable technologies to collect data and evaluate blood glucose correlations against physiological and environmental case parameters. Useful associations will assist the development of the ARISES algorithm and identify wearable devices for the final ARISES platform. This data will allow us to quantify the life style of someone with diabetes and improve care through more accurate prediction of glucose and therefore insulin needed.",,"5c86361738daa3.97906711","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/resources/outcome.html#?type=productintervention&outcomeId=5c86361738daa3.97906711&grantRef=EP%2FP00993X%2F1","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=EP/P00993X/1","3B16541D-A16F-411C-B0C4-91AABA7E4AED","798CB33D-C79E-4578-83F2-72606407192C","46387D84-F71E-4B7D-8C7D-9C288F113510","2C3C3E52-4E10-44A8-AE2B-87B44C2A98C4"
"MRC","MR/N019202/1","Research Grant","Products Interventions & Clinical Trials","Liverpool School of Tropical Medicine","Liverpool School of Tropical Medicine","Taegtmeyer","Miriam","","Battle in the Blood","Support Tool - For Medical Intervention","Refinement.  Non-clinical","",,"2018","Under active development/distribution","Dubbed &quot;Battle in the Blood (#BitB),&quot; the app is a unique puzzle and turn-based combat mobile game. The game aims to influence social norms, knowledge and attitude surrounding HIV/AIDs and challenge the belief that you can no longer live a long and fulfilling life after a positive diagnosis. It contrasts this by demonstrating the risk to your health by delaying or refusing testing and treatment services. Health messages are communicated across 90 unique levels and 10 animated stories. Players can earn power-ups to help them defeat levels by answering in-game questions. The game also features an extensive menu which includes a global leader board, information on each of the icons in the game and links to relevant information on HIV testing and treatment services. Using an iterative development process, informed through qualitative research with end users, the game took 10 months to develop from the technical prototype. 
The pilot game is freely available for download on the Google Play and App store.
The game development was funded by the Newton Agham Programme.","The approach used for the development of Battle in the Blood was successful in improving key features of the game and can be applied to any game for health, provided the learning objectives and target audience for the game have been specified. This approach can also be used to optimise Battle in the Blood for use in different contexts.

2019 update: Research conducted through the project has demonstrated that Battle in the Blood is accepted by target users and has a positive influence over knowledge and attitudes towards HIV services and people living with HIV in the Philippines. A qualitative exploratory study has identified cases in which the game has triggered positive health seeking behaviours. Factors that have contributed to the game's performance have been identified and will be used to develop validated strategies for the roll out and sustainability of games for health in lower- and middle-income countries.","https://etch.lstmed.ac.uk/games/battle-in-the-blood-bitb","5a9434d96c9005.71920787","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/resources/outcome.html#?type=productintervention&outcomeId=5a9434d96c9005.71920787&grantRef=MR%2FN019202%2F1","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=MR/N019202/1","2A5DA6C2-EC2B-4372-9E0C-EAB5FE49B9E1","C008C651-F5B0-4859-A334-5F574AB6B57C","3ED60B49-9C2B-4D71-B644-96CCC7F10194","52F76F91-B778-4D33-AE08-13007F88B0E3"
"MRC","MR/S01313X/1","Research Grant","Products Interventions & Clinical Trials","London Sch of Hygiene and Trop Medicine","Public Health and Policy","Heffernan","Claire","","SENGSYN Study (Senegal Synbiotic Study)","Therapeutic Intervention - Complementary","Initial development","",,"2020","Under active development/distribution","Young children exposed to poor sanitation and hygiene develop a disorder of the gut called &quot;environmental enteric dysfunction&quot; (EED) characterised by abnormal histopathology, permeability defects, and inflammation. EED significantly impairs growth through reduced digestion and absorption of nutrients, increased susceptibility to infections and systemic inflammation that directly inhibits growth hormones. EED may already be apparent by 6 weeks of age. Dietary supplementation with a synbiotic may provide resilience to the developing gut microbiome against these adverse environmental factors. Synbiotics are prebiotics combined with probiotics. Prebiotics are non-digestible compounds that encourage the growth of healthy gut bacteria. Probiotics are live beneficial bacteria such as bifidobacteria and lactobacilli. We are evaluating whether administration of a synbiotic to infants up to age 6 months in Senegal improves linear growth through improved gut health. In order to do this we are undertaking an individually randomized, 2-arm, open-label, controlled study of a synbiotic in infants between 0-5 months of age in Kaffrine District, Senegal. To date, 182 infants have been recruited into the trial.","We are actively working with the Hub 'behavioural' team as well as Science Made Simple (the Hub public engagement partners) on awareness raising activities at the community level to ensure that mother's are aware of the aims and objectives of the intervention. We will be communicating our findings to all relevant stakeholders, including local and national governments, with the intention to influence policy development in this area.",,"5e60e9f192b144.23031797","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/resources/outcome.html#?type=productintervention&outcomeId=5e60e9f192b144.23031797&grantRef=MR%2FS01313X%2F1","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=MR/S01313X/1","ED30FFEB-F4B2-45D5-A1FE-0487E4DE543B","C008C651-F5B0-4859-A334-5F574AB6B57C","055EA8B7-2C66-4FF5-96DD-63FA3AA7D0B7","5417A20B-7A78-4FC0-9E5D-66DD52780C43"
"MRC","MR/M016579/1","Research Grant","Products Interventions & Clinical Trials","Queen's University of Belfast","Medicine Dentistry and Biomedical Sci","Heaney","Liam","","Inhaler Compliance Assessment (Asthma) INCA SUN","Therapeutic Intervention - Medical Devices","Early clinical assessment","Yes",,"2016","Under active development/distribution","A prospective randomised multicentre study to optimise the management of symptomatically uncontrolled asthma patients comparing two management approaches one in which technology that objectively records medication use and aligns this with the patient's clinical course is compared to usual care, i.e. no technology.This is a prospective randomised, multicentre study of patients with severe asthma comparing two different educational interventions. One arm will use electronic recorded and integrated information from the INCA device, PEFR and environmental data. In the second, current best practice comprising, adherence optimisation, asthma education, written action plans and inhaler training will be performed. The primary endpoint will be maintenance of adherence to salmeterol/fluticasone as judged by comparing the actual rate of adherence between active and control arms over the last 12 weeks of the study. The cost effectiveness and clinical utility will be secondary endpoints. 

Nine sites are active and 2 new sites opened under the CHITIN funding programme. Expected completion date 30.06.2020.","N/A","http://www.incadevice.com/inca-sun-study/","5a99489bc69340.00728649","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/resources/outcome.html#?type=productintervention&outcomeId=5a99489bc69340.00728649&grantRef=MR%2FM016579%2F1","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=MR/M016579/1","4C5870E7-FC8B-48A2-97DB-38BC31E0B339","C008C651-F5B0-4859-A334-5F574AB6B57C","EC23DA53-CA73-4104-A3F6-2A9523484E69","51E3860D-5758-4DC7-A545-68AD267FA83F"
"MRC","MR/M011941/1","Research Grant","Products Interventions & Clinical Trials","Liverpool School of Tropical Medicine","Vector Biology","McCall","Philip","http://orcid.org/0000-0002-0007-3985","Barrier bednets","Products with applications outside of medicine","Refinement.  Non-clinical","",,"2019","Actively seeking support","We demonstrated how 'panels' or barriers of insecticide-treated netting positioned on the roof of a standard rectangular ITN increased the lethality of a deltamethrin-treated bednet against pyrethroid-resistant mosquitoes. Such upright roof barriers intercept mosquitoes where we 'd shown previously, the highest levels of malaria vector activity are known to occur and where the insecticide-treated material cannot contact the sleeper. Such a BBNet could potentially increase the range of candidate insecticides, by making newer expensive insecticides affordable, allowing higher concentrations of the a.i. or permitting the use of some insecticides currently 'unsafe for skin contact'. In addition to increasing treatment choice, BBnets would require less insecticide per net, which ultimately translates as safer cheaper nets, less toxic waste and reduced impacts on non-target fauna.
We are now awaiting the start of a trial in DRC, where a PBO-treated BBNet will be evaluated in comparison with a standard PBO net. we are actively seeking support for further trials and for additional refinement of the concept to ensure the likelihood it will be adopted and used by communities in Africa.","The device has been shown to be highly effective experimentally (and continues to do so) but until it has demonstrated its ability to do so at the community level in a clinical trial, its full potential remains unproven.",,"622f23bded4a27.22051131","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/resources/outcome.html#?type=productintervention&outcomeId=622f23bded4a27.22051131&grantRef=MR%2FM011941%2F1","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=MR/M011941/1","200153E8-8BC0-4357-9C7F-451B4FE15E24","C008C651-F5B0-4859-A334-5F574AB6B57C","3ED60B49-9C2B-4D71-B644-96CCC7F10194","211BBE14-85CA-43E8-842C-9251D54A25D3"
"EPSRC","EP/V025724/1","Fellowship","Products Interventions & Clinical Trials","University of Ulster","Sch of Computing & Intelligent Systems","Coyle","Damien","http://orcid.org/0000-0002-4739-1040","Neurofeedback with low-cost, wearable electroencephalography (EEG) reduces symptoms in chronic Post-Traumatic Stress Disorder","Therapeutic Intervention - Psychological/Behavioural","Refinement.  Clinical","",,"2022","Under active development/distribution","Background: The study examines the effectiveness of both neurofeedback and motor-imagery brain-computer interface (BCI) training, which promotes self-regulation of brain activity, using low-cost electroencephalography (EEG)-based wearable neurotechnology outside a clinical setting, as a potential treatment for post-traumatic stress disorder (PTSD) in Rwanda. Methods: Participants received training/treatment sessions along with a pre- and post- intervention clinical assessment, (N =29; control n =9, neurofeedback (NF, 7 sessions) n =10, and motor-imagery (MI, 6 sessions) n =10). Feedback was presented visually via a videogame. Participants were asked to regulate (NF) or inten
tionally modulate (MI) brain activity to affect/control the game. Results: The NF group demonstrated an increase in resting-state alpha 8-12 Hz bandpower following individual training sessions, termed alpha 'rebound' (Pz channel, p =0.025, all channels, p =0.024), consistent with previous research findings. This alpha 'rebound', unobserved in the MI group, produced a clinically relevant reduction in symptom severity in NF group, as revealed in three of seven clinical outcome measures: PCL-5 (p =0.005), PTSD screen (p =0.005), and HTQ (p =0.005). Limitations: Data collection took place in environments that posed difficulties in controlling environmental factors. Nevertheless, this limitation improves ecological validity, as neurotechnology treatments must be deployable outside controlled environments, to be a feasible technological treatment. Conclusions: The study produced the first evidence to support a low-cost, neurotechnological solution for
rofeedback as an effective treatment of PTSD for victims of acute trauma in conflict zones in a developing country.","A dataset has been made public and dataset paper &quot;&quot;Electroencephalography and psychological assessment datasets to determine the efficacy of a low-cost, wearable neurotechnology intervention for reducing Post-Traumatic Stress Disorder symptom severity.&quot; has been accepted for publication in Data in Brief.

This study has evaluated low-cost wearable neurotechnology arising from funded research at Ulster and Innovate UK funding to NeuroCONCISE Ltd","http://www.neuroconcise.co.uk","622fbc852ebe86.13067679","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/resources/outcome.html#?type=productintervention&outcomeId=622fbc852ebe86.13067679&grantRef=EP%2FV025724%2F1","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=EP/V025724/1","E14CA242-0FCA-40AB-AE39-DA9893A6C59D","798CB33D-C79E-4578-83F2-72606407192C","245EB81A-808F-4697-BAED-263C20266B74","3014924B-B29A-4135-A833-5C695EC6AE6A"
"BBSRC","BB/M011968/1","Research Grant","Products Interventions & Clinical Trials","Moredun Research Institute","Disease Control","Matthews","Jacqueline","","A sub-unit vaccine for control of teladorsagiosis in sheep","Therapeutic Intervention - Vaccines","Refinement.  Non-clinical","",,"2019","Actively seeking support","A vaccine prototype for control of teladorsagiosis, which comprises eight recombinant proteins, has been shown to induce significant levels of protection in several independent pen trials in lambs and ewes. The vaccine has been refined to comprise two components. Small scale field trials with this vaccine are underway. Studies to model how the vaccine might be applied and operate under field conditions in the UK are also being completed. Patents are secured, seed stocks and methodologies for upscale have been established and a Target Product Profile completed.","The major cause of parasitic gastroenteritis (PGE) in small ruminants in temperate regions worldwide is the parasitic nematode, Teladorsagia circumcincta. This pathogen is acquired by ingestion of infective third stage larvae from pasture and, thereafter, the developing parasites and adult worms reside in the abomasum, where a combination of nematode-induced damage and a host inflammatory/immune responses result in a protein-losing gastropathy. The major effect of infection with this parasite is on lamb productivity causing a reduction in live-weight gain; worm infection early in life has a significant impact on lamb body fat and protein deposition as a result of a reduction in the efficiency of metabolisable energy used for growth. The additional cost of lamb finishing time, assuming a 10% reduction in daily weight gain resulting from PGE, is substantial and was recently estimated as &pound;4.40 per lamb. Protective immunity to T. circumcincta develops after exposure to the parasite over a period of weeks; however, the degree of immunity acquired is dependent on the level of parasite challenge, age of the animal and its genotype (Singleton et al., 2011). In practice, immunity usually develops too late to prevent the parasite's negative effects on lamb productivity. 

T. circumcincta infection is currently controlled using anthelmintics; however, resistance to Class I to III products (benzimidazoles, levamisoles and macrocyclic lactones) is rife and multi-class resistant isolates have been reported. Of further concern are the field reports of resistance to one of the two new classes of anthelmintic. As an alternative method of control, we have developed a recombinant vaccine for T. circumcincta which has been shown to induce significant levels of protective immunity across a range of pen trials in lambs and ewes. Reductions in faecal egg output observed in our studies will have a substantial impact on downstream pasture contamination and could play a central role in the delivery of sustainable integrated nematode control programs on sheep farms across the globe.",,"5c8915da243462.44460780","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/resources/outcome.html#?type=productintervention&outcomeId=5c8915da243462.44460780&grantRef=BB%2FM011968%2F1","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=BB/M011968/1","0B58D03D-6F5A-4B59-A482-67C9A77BAFAE","2512EF1C-401B-4222-9869-A770D4C5FAC7","A54B1700-DBA3-40ED-B4DF-34E3B24C0BAE","589CA7A8-4514-470A-9F7E-23EDF71C66FC"
"EPSRC","EP/M01214X/1","Research Grant","Products Interventions & Clinical Trials","University of Ulster","Sch of Computing & Intelligent Systems","Coyle","Damien","http://orcid.org/0000-0002-4739-1040","Neurofeedback with low-cost, wearable electroencephalography (EEG) reduces symptoms in chronic Post-Traumatic Stress Disorder","Therapeutic Intervention - Psychological/Behavioural","Refinement.  Clinical","",,"2022","Under active development/distribution","Background: The study examines the effectiveness of both neurofeedback and motor-imagery brain-computer interface (BCI) training, which promotes self-regulation of brain activity, using low-cost electroencephalography (EEG)-based wearable neurotechnology outside a clinical setting, as a potential treatment for post-traumatic stress disorder (PTSD) in Rwanda. Methods: Participants received training/treatment sessions along with a pre- and post- intervention clinical assessment, (N =29; control n =9, neurofeedback (NF, 7 sessions) n =10, and motor-imagery (MI, 6 sessions) n =10). Feedback was presented visually via a videogame. Participants were asked to regulate (NF) or inten
tionally modulate (MI) brain activity to affect/control the game. Results: The NF group demonstrated an increase in resting-state alpha 8-12 Hz bandpower following individual training sessions, termed alpha 'rebound' (Pz channel, p =0.025, all channels, p =0.024), consistent with previous research findings. This alpha 'rebound', unobserved in the MI group, produced a clinically relevant reduction in symptom severity in NF group, as revealed in three of seven clinical outcome measures: PCL-5 (p =0.005), PTSD screen (p =0.005), and HTQ (p =0.005). Limitations: Data collection took place in environments that posed difficulties in controlling environmental factors. Nevertheless, this limitation improves ecological validity, as neurotechnology treatments must be deployable outside controlled environments, to be a feasible technological treatment. Conclusions: The study produced the first evidence to support a low-cost, neurotechnological solution for
rofeedback as an effective treatment of PTSD for victims of acute trauma in conflict zones in a developing country.","A dataset has been made public and dataset paper &quot;&quot;Electroencephalography and psychological assessment datasets to determine the efficacy of a low-cost, wearable neurotechnology intervention for reducing Post-Traumatic Stress Disorder symptom severity.&quot; has been accepted for publication in Data in Brief.

This study has evaluated low-cost wearable neurotechnology arising from funded research at Ulster and Innovate UK funding to NeuroCONCISE Ltd","http://www.neuroconcise.co.uk","622fbc852ebe86.13067679","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/resources/outcome.html#?type=productintervention&outcomeId=622fbc852ebe86.13067679&grantRef=EP%2FM01214X%2F1","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=EP/M01214X/1","9D73A7E0-012D-4246-A4E6-A3BD0B49C8EB","798CB33D-C79E-4578-83F2-72606407192C","245EB81A-808F-4697-BAED-263C20266B74","3014924B-B29A-4135-A833-5C695EC6AE6A"
"EPSRC","1819220","Studentship","Products Interventions & Clinical Trials","Brunel University","Computer Science",,,"","Pilot Study - Deploying IR/ToF (Infrared / Time of Flight) Mobile Camera Technology to Occupational Therapists professionals and trainees for measurement purposes.","Health and Social Care Services","Initial development","",,"2018","On hold","The aims of this pilot study were of two-fold. First, a presentation of a mobile Augmented Reality point to point measurement system which has been deployed on a commercially available depth-perception (TOF-CW) enabled tablet utilising active range sensors and the passive-parallax approaches. Second, an evaluation of the indoor measurement accuracy of the system through Occupational Therapists (OTs) who stand at the forefront of manual and hand based indoor object measurements in comparison with a 2D state of the art paper-based guidance leaflet which is currently used in practice. The evaluation aims to establish the relative efficiency and effectiveness of the system in conjunction with its feasibility and perceptions in terms of user satisfaction and attitudes towards adopting and using this new technology in practice.

Preliminary results indicate the measurements of the system in comparison with the guidance leaflet are within the acceptable margin identified to be 5 cm's in OT practice settings. However, the margin identified is one of lax requirements and will form part of one of the recommendations to further improve upon by the OT community. Additionally, the measurements captured by the system have provided in-depth Point-Cloud data sets that can be further processed using Mathematical/Computer Science concepts such as K-Means Nearest neighbours and Euclidean distances in attempts to provide the user with visual ques when performing digital measurements to improve overall accuracy.

The new and improved version of the system will be subject to a further trial in clinical settings and establish the research users (older adults) views with adoption of this system for assessment either in collaboration with OTs or self-efficiency in absence of the clinician. 

Developments of the open-sourced tablet technology has been depreciated and replaced with a more ubiquitous device that fits into the pocket. The replacement technologies' ethos as identified by the developers, steers away from enabling detailed and accurate scans of environmental Point Cloud Data and instead focuses on the user experience of the device with similar hardware and software features. 

The replacement technology, in combination with the preliminary results provide even more incentive for the research community to invest larger efforts into algorithmic and novel software-based solutions to provide accurate point-to-point measurement technology. To this end, integrating open-sourced technology that can be maintained by the community, instead of large conglomerates driven by capital gain, can provide massive cost-saving opportunities for both the public sector and governmental strategies whilst providing care to patients that have access to free health-care information on the internet and have started asking better-informed questions.

Funding opportunities remain within the current EPSRC grant as the project and system development is still ongoing.","The main focus of the development process is to analyse the current captured data sets from the trials and align this with current OTs expectations in terms of system design and applicability. Further trials will require an algorithmic improvement to the current measurement process and enabling correct translation from user input to measurement start-end points to facilitate an OTs analysis and promote independent living of elderly patients within the home.",,"5c61b4cd8aa839.63069926","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/resources/outcome.html#?type=productintervention&outcomeId=5c61b4cd8aa839.63069926&grantRef=1819220","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=1819220","A55DFA51-6E1D-4385-8985-B2AC4CEDAB77","798CB33D-C79E-4578-83F2-72606407192C","BECA2763-0902-40AA-8DB2-836A5731CF58",
"EPSRC","EP/N027264/1","Research Grant","Products Interventions & Clinical Trials","Cardiff University","Sch of Engineering","Holt","Catherine","","TOKA - Tailored Osteotomy Knee Alignment (TOKA®) is a patient specific surgical treatment for knee osteoarthritis specifically designed for young and active patinets","Therapeutic Intervention - Surgery","Small-scale adoption","",,"2022","Under active development/distribution","Image based evaluation for validation of a computer aided model of TOKA (3D-MP/Cardiff University joint project)

Background - High Tibial Osteotomy (HTO) is an effective treatment for this younger patient group. Unlike knee replacement, it preserves the native joint by re-aligning the tibia and redistributing the painful high-pressure regions within the knee. HTO clinical outcomes depend on the accuracy of the procedure, which is complex and surgically demanding. Current HTO solutions are one-size-fits-all resulting in post-operative complications related to the standardised nature of the plates.
3D-Metal Printing (3D-MP) use additive manufacturing (AM) technology to create complex and bespoke geometries, a low energy, environmentally responsible process with minimal material waste. Combining AM with digital technology 3D-MP developed TOKA (Tailored Osteotomy Knee Alignment), a precision-engineered patient-specific HTO treatment for knee Osteoarthritis (OA). It allows surgeons to precisely achieve the planned correction using a combination of intuitive 3D planning and custom-made, minimally invasive devices for superior patient comfort. Thus, providing a significant improvement to healthcare providers' treatment options.

At Cardiff University the Musculoskeletal Biomechanics Research Facility (MSKBRF) was established as part of a Welsh funded bid and includes the state of the art, &pound;1.6M dynamic, bi-plane X-Ray facility. This system is used to capture high-speed 2D X-ray of dynamic motions or activities of in-vivo joint biomechanics.

The Biomechanics and Bioengineering Research Centre Versus Arthritis (BBRCVA) at Cardiff University has led HTO studies for the last 10 years to understand altered loading in the knee OA in terms of the links between biomechanics, biology, and clinical measures. Longitudinal studies have been performed to measure, quantify and compare lower leg and trunk biomechanics to understand the way patients with medial compartment OA alter their gait, and other activities of daily living in response to their degenerative knee joint disease. Additional comparisons between biomechanical function taken pre- surgery to those that result post-operatively are performed to understand the effects of knee realignment surgery on offloading the medial compartment of the knee in order to alleviate the effects of the osteoarthritis in the bone and cartilage and other stabilising structures. Alongside this the effects of non-surgical gait alteration to offload the diseased compartment of the knee are being investigated. 

During these studies BBRCVA have worked alongside orthopaedic surgeons (at C&amp;V UHB) who have collected and collated clinical data on the patients who have biomechanics and biological data, allowing relationships to be identified between biomechanics and clinical knee alignment. A previous Knee Fellow who collated this information went on to establish the UK's first Osteotomy Registry (UKKOR) and interested in tibial osteotomy has risen extensively since the work started on the HTO study as a Flagship Study for the BBRC Versus Arthritis.

The OATech+ funded an Imaging Group project to develop new, bespoke dual plane dynamic X-ray imaging protocols (D Williams), focussed on extremity joints (knee, hand/wrist/ankle/foot). As a result of this Research Feasibility Study, these protocols have been adapted for the TOKA project allowing, for the first time, in vivo imaging pre- post HTO for patients having either a standard or a TOKA fixation plate.

Aims - The Personalised Against Standard High tibial Osteotomy (PASHiOn) trial started in 2021 - as part of a study funded by Versus Arthritis and led by Prof Gill (Bath University). This trial, led by Oxford University Clinical Trials Research Unit, is a two-group blinded randomised trial that will be conducted on 88 patients comparing TOKA to standard HTO. A cohort of 22 randomised patients are receiving treatment in Cardiff as part of the double-blind study. 

This proposed study is undertaking additional in-vivo biomechanical analysis at the MSKBRF on the Cardiff cohort to provide additional valuable insight on how the surgery changes contact positions of the tibiofemoral joint pre and post-surgery. The main aims are as follows: -

3DMP - To develop a diagnostic digital tool for surgeons to predict Pre-op and Post-Op motion and measure contact and contact points post-surgery. This will be integrated into TOKA's existing HTO planning software.

Cardiff University - To develop pipelines that use the available imaging data (e.g CT) to measure contact pressure and locations and to correlate them to clinical measures and biomechanics that we can measure in our gait lab. Identifying and translating salient information for use in the TOKA's surgical planning software to enhance patient outcome.","The product, developed previously at Bath University, is being trialled in Italy and the UK across 5 surgical centres (PASHiOn). There have been severe delays due to the halting of elective surgery during COVID but the trail has now commenced, and recruitment has begun. The main impact of the work that has resulted from the OATech+ RFP study, to date, is the ability to quantify previously inaccessible, in-vivo dynamic, loaded arthrokinematics pre and post surgery.

The dynamic and bone models generated and the arthokinematic and gait biomechanics outputs will provide evidence to support the clinical and video vector evidence from the PASHiOn study and will also provide parameters for optimising the models developed for virtual surgical planning and training.","https://www.tokagroup.com/","6230bd64f33525.42942494","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/resources/outcome.html#?type=productintervention&outcomeId=6230bd64f33525.42942494&grantRef=EP%2FN027264%2F1","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=EP/N027264/1","0DCE5D8F-553F-4541-B6C0-4FBD8CCD7571","798CB33D-C79E-4578-83F2-72606407192C","9C10D78F-6430-4CA7-9528-B96B0762A4C6","034115B1-EE0A-4A80-BF44-CB0631D1513A"
