"Project_no","Project.Title","Keyword","Keyword_hit"
"ERO_23","predict: increasing the reliability of predictions of population dynamics in response to climate change","climate change","1"
"ERO_24","solstice: simulated and observed length of seasons –impact of internal variability and climate change","climate change","1"
"ERO_25","the data slipstream project: advanced data systems to deliver timely information on climate change mitigation and adaptation from earth observation","climate change","1"
"ERO_26","the data slipstream project: advanced data systems to deliver timely information on climate change mitigation and adaptation from earth observation","climate change","1"
"ERO_27","the data slipstream project: advanced data systems to deliver timely information on climate change mitigation and adaptation from earth observation","climate change","1"
"ERO_28","the health and equity impacts of climate change mitigation measures on indoor and outdoor air pollution exposure (heiccam)","climate change","1"
"ERO_29","breeding for the future: improving robustness of salmonid aquaculture to climate change","climate change","1"
"ERO_30","climate change and migration as vectors of conflict in sub-saharan african cities: exploring intersections, coping strategies and governance responses","climate change","1"
"ERO_31","how do climate change shocks propagate through the global macroeconomy?","climate change","1"
"ERO_32","impacts assessments to support water resources management and climate change adaption for china","climate change","1"
"ERO_33","quaker activism: the role of shared practice in action on climate change","climate change","1"
"ERO_34","understanding the resilience of wild birds to climate change: seasonal genomics of the annual migratory breeding cycle","climate change","1"
"ERO_35","strategising for sustainability: combating climate change in partnership with indigenous communities in kiribati and samoa","climate change","1"
"ERO_36","strategising for sustainability: combating climate change in partnership with indigenous communities in kiribati and samoa","climate change","1"
"ERO_37","climate change policies for people: implementing co-developed water governance and security in the upper atoyac river basin, puebla","climate change","1"
"ERO_38","climate change policies for people: implementing co-developed water governance and security in the upper atoyac river basin, puebla","climate change","1"
"ERO_39","exploring the development and implementation of co-produced water management infrastructure solutions to adapt to climate change-related risk: the intersection of rural-urban areas in medellin, colombia","climate change","1"
"ERO_40","exploring the development and implementation of co-produced water management infrastructure solutions to adapt to climate change-related risk: the intersection of rural-urban areas in medellin, colombia","climate change","1"
"ERO_41","interactive data comics to learn about climate change","climate change","1"
"ERO_42","supporting climate change mitigation policy through atmospheric monitoring","climate change","1"
"ERO_43","cascading effects of climate change on birds","climate change","1"
"ERO_44","improved phosphorus and eutrophication status assessments for humic lakes in light of climate change pressures and departure from eu directive","climate change","1"
"ERO_45","ba mid career fellowship - m thaler, hope and fear in the anthropocene: utopian tendencies in current debates on climate change","climate change","1"
"ERO_46","ibiome: measuring the effect of land use and climate change on ecosystem service delivery potential across tropical south america","climate change","1"
"ERO_47","developing collaborative smart city solutions to manage adaptation and monitoring climate change related risks in mexico","climate change","1"
"ERO_48","developing collaborative smart city solutions to manage adaptation and monitoring climate change related risks in mexico","climate change","1"
"ERO_49","improving climate change projections by constraining models with high-resolution aircraft observations (climato)","climate change","1"
"ERO_50","on the politics of hope and fear in current debates on climate change","climate change","1"
"ERO_51","developing co-created smart city solutions for managed adaptation and monitoring of hydro-meteorological climate change related risk in mexico","climate change","1"
"ERO_52","developing co-created smart city solutions for managed adaptation and monitoring of hydro-meteorological climate change related risk in mexico","climate change","1"
"ERO_53","renewable energy production by nanostructured transition metal dichalcogenide and co2 capture to fight against the climate change","climate change","1"
"ERO_54","effect of climate change on coastal flooding and coastal erosion over the head bay of bengal","climate change","1"
"ERO_55","dr shivani agarwal - socio-ecological impacts of conflicting forest policies in india and challenges to mitigate climate change through afforestation programs","climate change","1"
"ERO_56","multiple consequences of climate change on birds: cascading effects","climate change","1"
"ERO_57","on the politics of hope and fear: utopian tendencies in current debates on climate change","climate change","1"
"ERO_58","on the politics of hope and fear: utopian tendencies in current debates on climate change and racism","climate change","1"
"ERO_59","natural climate variability in the last millennium: disentangling the causes and effects of regional climate change.","climate change","1"
"ERO_71","mitigating climate change impacts on biodiversity via machine learning powered assessment","climate change","1"
"ERO_129","the health and equity impacts of climate change mitigation measures on indoor and outdoor air pollution exposure (heiccam)","climate change","1"
"ERO_157","development of thin film composite membranes for the capture of greenhouse gases against climate change","climate change","1"
"ERO_167","development of thin film composite membranes for the capture of greenhouse gases against climate change","climate change","1"
"ERO_379","renewable energy production by nanostructured transition metal dichalcogenide and co2 capture to fight against the climate change","climate change","1"
"ERO_420","project amaulik: exploring seabird-harvester-climate interactions to ensure inuit food security in the face of climate change","climate change","1"
"ERO_753","how do climate change shocks propagate through the global macroeconomy?","climate change","1"
"ERO_1005","ibiome: measuring the effect of land use and climate change on ecosystem service delivery potential across tropical south america","climate change","1"
"ERO_1049","dr shivani agarwal - socio-ecological impacts of conflicting forest policies in india and challenges to mitigate climate change through afforestation programs","climate change","1"
"ERO_1115","e chatzisymeon epsrc new horizons using wastewater as a resource to tackle climate change","climate change","1"
"ERO_1428","strategising for sustainability: combating climate change in partnership with indigenous communities in kiribati and samoa","climate change","1"
"ERO_1429","strategising for sustainability: combating climate change in partnership with indigenous communities in kiribati and samoa","climate change","1"
"ERO_1452","ba mid career fellowship - m thaler, hope and fear in the anthropocene: utopian tendencies in current debates on climate change","climate change","1"
"ERO_1511","ftma2:breeding for the future: optimising commercial breeding programmes to improve resilience of salmonid aquaculture to climate change","climate change","1"
"ERO_1516","application of genomic tools to breed for robustness to climate change in salmon aquaculture","climate change","1"
"ERO_1520","breeding for the future: improving robustness of salmonid aquaculture to climate change","climate change","1"
"ERO_1557","dr shivani agarwal - socio-ecological impacts of conflicting forest policies in india and challenges to mitigate climate change through afforestation programs","climate change","1"
"ERO_1563","improved phosphorus and eutrophication status assessments for humic lakes in light of climate change pressures and departure from eu directive","climate change","1"
"ERO_1586","natural climate variability in the last millennium: disentangling the causes and effects of regional climate change.","climate change","1"
"ERO_60","mrc climate crisis network","climate crisis","1"
"ERO_61","ericoid mycorrhizal fungi as global carbon sinks","carbon sink","1"
"ERO_62","landscapes as carbon sinks: scotland's land contibution to net zero by 2045","carbon sink","1"
"ERO_63","landscapes (france) as carbon sinks co-design phase - land ecosystem in france - climate kic 19","carbon sink","1"
"ERO_64","ericoid mycorrhizal fungi as global carbon sinks","carbon sink","1"
"ERO_65","landscapes as carbon sinks co-design phase","carbon sink","1"
"ERO_837","landscapes (france) as carbon sinks co-design phase - land ecosystem in france - climate kic 19","carbon sink","1"
"ERO_5","mitigating climate change impacts on biodiversity via machine learning powered assessment","biodiversity","1"
"ERO_66","abc of fire: assessing the biodiversity and carbon impacts of fire","biodiversity","1"
"ERO_67","developing & piloting biodiversity footprinting & natural capital accounting via a 'beehive' of sectoral hubs,  for sustainable transition to a circular eu bioeconomy","biodiversity","1"
"ERO_68","developing & piloting biodiversity footprinting & natural capital accounting via a 'beehive' of sectoral hubs,  for sustainable transition to a circular eu bioeconomy","biodiversity","1"
"ERO_69","developing & piloting biodiversity footprinting & natural capital accounting via a 'beehive' of sectoral hubs,  for sustainable transition to a circular eu bioeconomy","biodiversity","1"
"ERO_70","miobio: microbial ocean biodiversity for a sustainable exploitation of biological resources  and nature-based solutions","biodiversity","1"
"ERO_71","mitigating climate change impacts on biodiversity via machine learning powered assessment","biodiversity","1"
"ERO_72","challenging core biodiversity concepts while developing citizen-science methods: extending the use & power of citizens' juries in academia & policy","biodiversity","1"
"ERO_73","biodiversity for nutritional wellbeing in bangladeshi floodplain systems: an education approach","biodiversity","1"
"ERO_74","refresh: rejuvenation of exhausted farmland for cleaner ecosystems and enhanced biodiversity","biodiversity","1"
"ERO_75","cityzengreen: using citizen science to characterise and maximise the biodiversity and health promoting potential of urban green and blue spaces","biodiversity","1"
"ERO_76","cityzengreen: using citizen science to characterise and maximise the biodiversity and health promoting potential of urban green and blue spaces","biodiversity","1"
"ERO_77","cityzengreen: using citizen science to characterise and maximise the biodiversity and health promoting potential of urban green and blue spaces","biodiversity","1"
"ERO_78","charter: drivers and feedbacks of changes in arctic terrestrial biodiversity","biodiversity","1"
"ERO_79","creating an index of crop-farming traits to assess the biodiversity footprint of foods: what is the biodiversity impact of your breakfast?","biodiversity","1"
"ERO_80","carbon cycling in african and australian woodlands - interactions between climate, biodiversity and fire","biodiversity","1"
"ERO_81","quantifying the effects of development projects on biodiversity conservation in west africa","biodiversity","1"
"ERO_82","protecting ethiopia’s bale mountains biodiversity through livestock-based livelihood enhancement (pebble)","biodiversity","1"
"ERO_83","marcosumar - bridging the biodiversity knowledge gap on marine connectivity for a sustainable use of marine resources","biodiversity","1"
"ERO_84","bbr genomehubs - agile genome databasing for neglected organisms of agricultural, development and biodiversity importance","biodiversity","1"
"ERO_85","genomehubs - agile genome databasing for neglected organisms of agricultural, development and biodiversity importance (gcrf)","biodiversity","1"
"ERO_99","quantifying the effects of development projects on biodiversity conservation in west africa","biodiversity","1"
"ERO_483","developing & piloting biodiversity footprinting & natural capital accounting via a 'beehive' of sectoral hubs,  for sustainable transition to a circular eu bioeconomy","biodiversity","1"
"ERO_484","developing & piloting biodiversity footprinting & natural capital accounting via a 'beehive' of sectoral hubs,  for sustainable transition to a circular eu bioeconomy","biodiversity","1"
"ERO_485","developing & piloting biodiversity footprinting & natural capital accounting via a 'beehive' of sectoral hubs,  for sustainable transition to a circular eu bioeconomy","biodiversity","1"
"ERO_639","refresh: rejuvenation of exhausted farmland for cleaner ecosystems and enhanced biodiversity","biodiversity","1"
"ERO_1214","developing & piloting biodiversity footprinting & natural capital accounting via a 'beehive' of sectoral hubs,  for sustainable transition to a circular eu bioeconomy","biodiversity","1"
"ERO_1215","developing & piloting biodiversity footprinting & natural capital accounting via a 'beehive' of sectoral hubs,  for sustainable transition to a circular eu bioeconomy","biodiversity","1"
"ERO_1216","developing & piloting biodiversity footprinting & natural capital accounting via a 'beehive' of sectoral hubs,  for sustainable transition to a circular eu bioeconomy","biodiversity","1"
"ERO_1219","miobio: microbial ocean biodiversity for a sustainable exploitation of biological resources  and nature-based solutions","biodiversity","1"
"ERO_1391","marcosumar - bridging the biodiversity knowledge gap on marine connectivity for a sustainable use of marine resources","biodiversity","1"
"ERO_1668","biodiversity for nutritional wellbeing in bangladeshi floodplain systems: an education approach","biodiversity","1"
"ERO_81","quantifying the effects of development projects on biodiversity conservation in west africa","conservation","1"
"ERO_86","madagascar savanna ecology for conservation and livelihoods","conservation","1"
"ERO_87","understanding public opinions of conservation","conservation","1"
"ERO_88","a conservation science network for golden eagles","conservation","1"
"ERO_89","conservation and change in the regulation of protein synthesis by rna-binding proteins","conservation","1"
"ERO_90","bringing home india's bounty: using historic specimens to understand the genomic impacts of recent anthropogenic activity on threatened species to inform conservation management","conservation","1"
"ERO_91","conservation of genetic networks underpinning leaf development in monocot crops","conservation","1"
"ERO_92","through lyell's eyes - conservation of the sir charles lyell collection","conservation","1"
"ERO_93","dynamic conservation of genetic diversity in juniper","conservation","1"
"ERO_94","conserving botswana’s northern wilderness: community benefit sharing to incentivise conservation","conservation","1"
"ERO_95","international conservation significance of man-made structures in the north sea","conservation","1"
"ERO_96","the shaping of the global conservation agenda","conservation","1"
"ERO_97","integrated resilience: new approaches to sustainable agriculture and nature conservation in highland coffee-producing zones of ne brazil","conservation","1"
"ERO_98","effective conservation of critical chicken genetic resources via primordial germ cell (pgc) cryopreservation","conservation","1"
"ERO_99","quantifying the effects of development projects on biodiversity conservation in west africa","conservation","1"
"ERO_100","identifying the degree of molecular conservation between human patients and a novel ovine model of childhood dementia at post mortem","conservation","1"
"ERO_101","golden eagle health as an indicator of ecosystem health: development of novel surveillance tools for conservation","conservation","1"
"ERO_102","raptor health as an indicator of ecosystem health: development of novel surveillance tools for conservation","conservation","1"
"ERO_103","golden eagle health as an indicator of ecosystem health: development of novel surveillance tools for conservation","conservation","1"
"ERO_104","the group and organisation future of conservation survey (go-fox) project","conservation","1"
"ERO_105","prehistoric egypt: conservation, heritage tourism and global significance","conservation","1"
"ERO_310","bringing home india's bounty: using historic specimens to understand the genomic impacts of recent anthropogenic activity on threatened species to inform conservation management","conservation","1"
"ERO_451","madagascar savanna ecology for conservation and livelihoods","conservation","1"
"ERO_1057","golden eagle health as an indicator of ecosystem health: development of novel surveillance tools for conservation","conservation","1"
"ERO_1059","raptor health as an indicator of ecosystem health: development of novel surveillance tools for conservation","conservation","1"
"ERO_1060","golden eagle health as an indicator of ecosystem health: development of novel surveillance tools for conservation","conservation","1"
"ERO_1324","integrated resilience: new approaches to sustainable agriculture and nature conservation in highland coffee-producing zones of ne brazil","conservation","1"
"ERO_106","how do global change and functional traits influence savannah woody plant encroachment?","global change","1"
"ERO_107","the nature and consequences of historic and future ocean acidification; insights from boron isotopes in corals","ocean acidification","1"
"ERO_179","the nature and consequences of historic and future ocean acidification; insights from boron isotopes in corals","ocean acidification","1"
"ERO_108","engineering in-situ elimination of microplastics from municipal wastewaters","microplastic","1"
"ERO_109","microplastics in the environment: assessing groundwater discharge to surface waters as a contaminating pathway for aquatic environments and beach sands","microplastic","1"
"ERO_110","addressing viri, microplastics and antimicrobial resistance at wastewater treatment plants","microplastic","1"
"ERO_111","addressing viri, microplastics and antimicrobial resistance at wastewater treatment plants","microplastic","1"
"ERO_112","microplastic and nanoplastic health and toxicity total air network (manhattan)","microplastic","1"
"ERO_113","stop fibrous microplastic pollution from textiles by elucidating fibre damage and manufacturing novel textiles","microplastic","1"
"ERO_114","tap to trench investigation of microplastic fibres transport from wastewaters to effects in deep sea organisms and ecosystems (tap2trench)","microplastic","1"
"ERO_136","stop fibrous microplastic pollution from textiles by elucidating fibre damage and manufacturing novel textiles","microplastic","1"
"ERO_1038","tap to trench investigation of microplastic fibres transport from wastewaters to effects in deep sea organisms and ecosystems (tap2trench)","microplastic","1"
"ERO_1127","engineering in-situ elimination of microplastics from municipal wastewaters","microplastic","1"
"ERO_1155","addressing viri, microplastics and antimicrobial resistance at wastewater treatment plants","microplastic","1"
"ERO_1156","addressing viri, microplastics and antimicrobial resistance at wastewater treatment plants","microplastic","1"
"ERO_1183","tap to trench investigation of microplastic fibres transport from wastewaters to effects in deep sea organisms and ecosystems (tap2trench)","microplastic","1"
"ERO_1480","microplastics in the environment: assessing groundwater discharge to surface waters as a contaminating pathway for aquatic environments and beach sands","microplastic","1"
"ERO_28","the health and equity impacts of climate change mitigation measures on indoor and outdoor air pollution exposure (heiccam)","pollution","1"
"ERO_113","stop fibrous microplastic pollution from textiles by elucidating fibre damage and manufacturing novel textiles","pollution","1"
"ERO_115","freshair4life: implementation research on tailored, multidisciplinary ncd prevention in youth: targeting tobacco and air pollution exposure for mid- to late adolescents in disadvantaged populations","pollution","1"
"ERO_116","freshair4life: implementation research on tailored, multidisciplinary ncd prevention in youth: targeting tobacco and air pollution exposure for mid- to late adolescents in disadvantaged populations","pollution","1"
"ERO_117","tackling urban water runoff for zero-diffuse pollution","pollution","1"
"ERO_118","air pollution solutions for vulnerable groups (cleanair4v)","pollution","1"
"ERO_119","demonstrate the feasibility of a zero carbon & pollution hydrogen based portable power solution for outdoor events at edinburgh international festival","pollution","1"
"ERO_120","demonstrate the feasibility of a zero carbon & pollution hydrogen based portable power solution for outdoor events at edinburgh international festival","pollution","1"
"ERO_121","effects of ultrafine particles from air pollution on cardiac camp signalling nanodomains","pollution","1"
"ERO_122","to-zero towards zero pollution - novel bio-based pesticides, bio-fertilisers and bio-mulches within crop specific systemic innovation cycles across europe","pollution","1"
"ERO_123","to-zero towards zero pollution - novel bio-based pesticides, bio-fertilisers and bio-mulches within crop specific systemic innovation cycles across europe","pollution","1"
"ERO_124","to-zero towards zero pollution - novel bio-based pesticides, bio-fertilisers and bio-mulches within crop specific systemic innovation cycles across europe","pollution","1"
"ERO_125","to-zero towards zero pollution - novel bio-based pesticides, bio-fertilisers and bio-mulches within crop specific systemic innovation cycles across europe","pollution","1"
"ERO_126","air pollution characterisation and exposure management in the indoor-outdoor continuum (indair)","pollution","1"
"ERO_127","long- and short-term health impacts of covid-19 lockdown driven changes in air pollution in the uk according to measures of population deprivation (covidair)","pollution","1"
"ERO_128","impact of the decrease in air pollution due to covid-19 pandemic control measures on health outcomes.","pollution","1"
"ERO_129","the health and equity impacts of climate change mitigation measures on indoor and outdoor air pollution exposure (heiccam)","pollution","1"
"ERO_130","marieco: ocean plastic pollution on marine ecosystems of south east asia: characterising sources and identification of impacts and mitigation measures","pollution","1"
"ERO_131","air pollution, housing and respiratory tract infections in children: national birth cohort study (picnic)","pollution","1"
"ERO_132","air pollution, housing and respiratory tract infections in children: national birth cohort study (picnic)","pollution","1"
"ERO_133","plastic pollution - mitigating the impact through circular economy (solution)","pollution","1"
"ERO_134","the expose network: estimating personal exposure to air pollution on a population scale for use in epidemiology","pollution","1"
"ERO_135","modelling drug delivery, pollution and remediation","pollution","1"
"ERO_136","stop fibrous microplastic pollution from textiles by elucidating fibre damage and manufacturing novel textiles","pollution","1"
"ERO_137","a toxicological approach to understanding the neurodegenerative effects of air pollution","pollution","1"
"ERO_138","antibacterial air pollution filtration system based on nanofibers functionalized with bioactive ingredients - nabi antibacterial face mask -","pollution","1"
"ERO_139","informing design of novel materials for chemical pollution remediation of water through molecular modelling","pollution","1"
"ERO_140","health assessment across biological length scales for personal pollution exposure and its mitigation","pollution","1"
"ERO_141","lung megakaryocyte and platelet function in response to air pollution exposure","pollution","1"
"ERO_142","expected health benefits of consensus among the south asian association for regional cooperation countries to tackle air pollution","pollution","1"
"ERO_143","reduction of landfill gas and leachate pollution from solid waste landfill via implementation of 2-dimensional nanomaterial mixed matrix membranes (mmms) to foster a green and sustainable environment","pollution","1"
"ERO_144","apex: an air pollution exposure model to integrate protection of vulnerable groups into the uk clean air programme","pollution","1"
"ERO_145","air pollution exposure changes and impact on respiratory health and education: a population-wide record-linked longitudinal study","pollution","1"
"ERO_146","evaluating the effectiveness of nature-based solutions to mitigate urban air pollution exposure based","pollution","1"
"ERO_147","evaluating the effectiveness of nature-based solutions to mitigate urban air pollution exposure based","pollution","1"
"ERO_148","evaluating the effectiveness of nature-based solutions to mitigate urban air pollution exposure based","pollution","1"
"ERO_149","public health initiative on lmic air pollution (philap)","pollution","1"
"ERO_319","plastic pollution - mitigating the impact through circular economy (solution)","pollution","1"
"ERO_751","marieco: ocean plastic pollution on marine ecosystems of south east asia: characterising sources and identification of impacts and mitigation measures","pollution","1"
"ERO_772","plastic pollution - mitigating the impact through circular economy (solution)","pollution","1"
"ERO_1001","air pollution exposure changes and impact on respiratory health and education: a population-wide record-linked longitudinal study","pollution","1"
"ERO_1179","reduction of landfill gas and leachate pollution from solid waste landfill via implementation of 2-dimensional nanomaterial mixed matrix membranes (mmms) to foster a green and sustainable environment","pollution","1"
"ERO_1351","reduction of landfill gas and leachate pollution from solid waste landfill via implementation of 2-dimensional nanomaterial mixed matrix membranes (mmms) to foster a green and sustainable environment","pollution","1"
"ERO_18","development of thin film composite membranes for the capture of greenhouse gases against climate change","greenhouse gas","1"
"ERO_150","forests for climate mitigation – how does tree-derived nitrogen influence soil greenhouse gas production","greenhouse gas","1"
"ERO_151","verifying progress towards net zero: novel methods for estimating greenhouse gas emissions from atmospheric data","greenhouse gas","1"
"ERO_152","a solar energy solution for non-co2 greenhouse gas removal","greenhouse gas","1"
"ERO_153","verifying progress towards net zero: novel methods for estimating greenhouse gas emissions from atmospheric data","greenhouse gas","1"
"ERO_154","stepforggr: solar up-draft tower to enable atmospheric photocatalysis for non-co2 greenhouse gases removal: an emerging negative emission technology","greenhouse gas","1"
"ERO_155","first purpose-built uk tall tower for greenhouse gas research","greenhouse gas","1"
"ERO_156","a low-energy approach to remove multiple greenhouse gases","greenhouse gas","1"
"ERO_157","development of thin film composite membranes for the capture of greenhouse gases against climate change","greenhouse gas","1"
"ERO_158","polygram: polyisotopologues of greenhouse gases: analysis and modelling","greenhouse gas","1"
"ERO_159","c-quester - comprehensive, quantifiable and effective strategies for net greenhouse gas emission reductions on land","greenhouse gas","1"
"ERO_160","synthesis and characterisation of novel porous materials for greenhouse gas capture","greenhouse gas","1"
"ERO_161","monitoring greenhouse gasses from space","greenhouse gas","1"
"ERO_162","detection and attribution of regional greenhouse gas emissions in the uk (dare-uk)","greenhouse gas","1"
"ERO_163","advanced uk observing network for air quality, public heath and greenhouse gas research","greenhouse gas","1"
"ERO_164","verify: observation-based system for monitoring and verification of greenhouse gases","greenhouse gas","1"
"ERO_165","stepforggr: solar up-draft tower to enable atmospheric photocatalysis for non-co2 greenhouse gases removal: an emerging negative emission technology","greenhouse gas","1"
"ERO_166","a low-energy approach to remove multiple greenhouse gases","greenhouse gas","1"
"ERO_167","development of thin film composite membranes for the capture of greenhouse gases against climate change","greenhouse gas","1"
"ERO_168","polygram: polyisotopologues of greenhouse gases: analysis and modelling","greenhouse gas","1"
"ERO_169","verify: observation-based system for monitoring and verification of greenhouse gases","greenhouse gas","1"
"ERO_308","advanced uk observing network for air quality, public heath and greenhouse gas research","greenhouse gas","1"
"ERO_18","development of thin film composite membranes for the capture of greenhouse gases against climate change","greenhouse gases","1"
"ERO_154","stepforggr: solar up-draft tower to enable atmospheric photocatalysis for non-co2 greenhouse gases removal: an emerging negative emission technology","greenhouse gases","1"
"ERO_156","a low-energy approach to remove multiple greenhouse gases","greenhouse gases","1"
"ERO_157","development of thin film composite membranes for the capture of greenhouse gases against climate change","greenhouse gases","1"
"ERO_158","polygram: polyisotopologues of greenhouse gases: analysis and modelling","greenhouse gases","1"
"ERO_164","verify: observation-based system for monitoring and verification of greenhouse gases","greenhouse gases","1"
"ERO_165","stepforggr: solar up-draft tower to enable atmospheric photocatalysis for non-co2 greenhouse gases removal: an emerging negative emission technology","greenhouse gases","1"
"ERO_166","a low-energy approach to remove multiple greenhouse gases","greenhouse gases","1"
"ERO_167","development of thin film composite membranes for the capture of greenhouse gases against climate change","greenhouse gases","1"
"ERO_168","polygram: polyisotopologues of greenhouse gases: analysis and modelling","greenhouse gases","1"
"ERO_169","verify: observation-based system for monitoring and verification of greenhouse gases","greenhouse gases","1"
"ERO_107","the nature and consequences of historic and future ocean acidification; insights from boron isotopes in corals","coral","1"
"ERO_170","quantifying rapid cold-water coral habitat loss in a future ocean","coral","1"
"ERO_171","modelling how corals apply the goldilocks principle to engineer habitat","coral","1"
"ERO_172","sgn h100 hycoral","coral","1"
"ERO_173","the role of coralliths in coral reef recovery and expansion","coral","1"
"ERO_174","protecting coral reef fisheries through economic development and diversified food security","coral","1"
"ERO_175","crumbling reefs: quantifying risk of cold-water coral habitat loss in a changing ocean","coral","1"
"ERO_176","multiscale constitutive modelling and computational analyses of cold-water coral skeletons","coral","1"
"ERO_177","the role of symbiont evolutionary history in coral resilience to bleaching","coral","1"
"ERO_178","the role of symbiont evolutionary history in coral resilience to bleaching","coral","1"
"ERO_179","the nature and consequences of historic and future ocean acidification; insights from boron isotopes in corals","coral","1"
"ERO_181","the role of coralliths in coral reef recovery and expansion","coral","1"
"ERO_182","protecting coral reef fisheries through economic development and diversified food security","coral","1"
"ERO_183","crumbling reefs: quantifying risk of cold-water coral habitat loss in a changing ocean","coral","1"
"ERO_442","protecting coral reef fisheries through economic development and diversified food security","coral","1"
"ERO_893","the role of coralliths in coral reef recovery and expansion","coral","1"
"ERO_1004","protecting coral reef fisheries through economic development and diversified food security","coral","1"
"ERO_173","the role of coralliths in coral reef recovery and expansion","reef","1"
"ERO_174","protecting coral reef fisheries through economic development and diversified food security","reef","1"
"ERO_175","crumbling reefs: quantifying risk of cold-water coral habitat loss in a changing ocean","reef","1"
"ERO_180","the calabi problem for smooth fano threefolds","reef","1"
"ERO_181","the role of coralliths in coral reef recovery and expansion","reef","1"
"ERO_182","protecting coral reef fisheries through economic development and diversified food security","reef","1"
"ERO_183","crumbling reefs: quantifying risk of cold-water coral habitat loss in a changing ocean","reef","1"
"ERO_184","rational threefolds and finite groups","reef","1"
"ERO_442","protecting coral reef fisheries through economic development and diversified food security","reef","1"
"ERO_893","the role of coralliths in coral reef recovery and expansion","reef","1"
"ERO_1004","protecting coral reef fisheries through economic development and diversified food security","reef","1"
"ERO_185","nerc-most: understanding the role of extreme weather conditions on health damaging events in taiwan using global climate models","extreme weather","1"
"ERO_186","greenland's marine terminating glaciers: ocean forcing of glacier retreat and sea level response","sea level","1"
"ERO_187","next generation projections of sea level contribution and freshwater export from the greenland ice sheet","sea level","1"
"ERO_188","quorum: quantifying and reducing uncertainty in multi-decadal projection of ice sheet-sea level contribution","sea level","1"
"ERO_189","quorum: quantifying and reducing uncertainty in multi-decadal projection of ice sheet-sea level contribution","sea level","1"
"ERO_190","david stevenson  nerc environmental response to hydrogen emissions (led by cambridge) oct'22","environmental","1"
"ERO_191","the environmental and genetic drivers of senescence in a novel laboratory to field system","environmental","1"
"ERO_192","spatial and environmental medical humanities","environmental","1"
"ERO_193","operational optimization of environmental fmd sampling","environmental","1"
"ERO_194","environmental emotions: theory, testimony, politics","environmental","1"
"ERO_195","ftma 3: developing a collaboration with the marine environmental research laboratory (merl), machrihanish, scotland.","environmental","1"
"ERO_196","exploiting genomic approaches to identify the environmental basis of depression - public engagement enhancement","environmental","1"
"ERO_197","novel mechanistic and mathematical approaches to predict toxicity and risk associated with environmental exposures in early life","environmental","1"
"ERO_198","novel mechanistic and mathematical approaches to predict toxicity and risk associated with environmental exposures in early life","environmental","1"
"ERO_199","technologies for environmental impact mitigation of floating offshore wind projects","environmental","1"
"ERO_200","health and the global environmental agenda 2021-2022:  a policy guide","environmental","1"
"ERO_201","the environmental drivers of senescence: an experimental test in the wild","environmental","1"
"ERO_202","the environmental drivers of senescence: an experimental test in the wild","environmental","1"
"ERO_203","the environmental drivers of senescence: an experimental test in the wild","environmental","1"
"ERO_204","weathered selves: environmental and psychological stress in modern literature","environmental","1"
"ERO_205","technoeconomically optimal & environmentally benign pharmaceutical manufacturing at high process mass intensity (pmi)","environmental","1"
"ERO_206","environmentally degradable soft/hard block copolymers","environmental","1"
"ERO_207","the insect cryptonephridial complex – evolution and development of a key environmental adaptation","environmental","1"
"ERO_208","catastrophic shifts in tree-microbial symbioses: the causes, consequences, and warning signs of environmental collapse in the global forest system","environmental","1"
"ERO_209","framework for an integrated network for environmental management of mining areas in the philippines (minemap)","environmental","1"
