"FundingOrgName","ProjectReference","LeadROName","Department","ProjectCategory","PISurname","PIFirstName","PIOtherNames","PI ORCID iD","StudentSurname","StudentFirstName","StudentOtherNames","Student ORCID iD","Title","StartDate","EndDate","AwardPounds","ExpenditurePounds","Region","Status","GTRProjectUrl","ProjectId","FundingOrgId","LeadROId","PIId","School","College"
"BBSRC","BBS/E/D/30002276","University of Edinburgh","The Roslin Institute","Intramural","Meddle","Simone",NA,NA,NA,NA,NA,NA,"Complex phenotypes and genotype x environment interactions","31/03/2017","30/03/2020",NA,3950483,"Scotland","Closed","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=BBS/E/D/30002276","D92A28B0-AA70-46E3-8CFD-60E4DF99BB87","2512EF1C-401B-4222-9869-A770D4C5FAC7","2DB7ED73-8E89-457A-A395-FAC12F929C1A","FDA986DE-FF42-437E-B7FF-278A2CE210EC","Royal (Dick) School of Veterinary Science","College of Medicine & Veterinary Medicine"
"EPSRC","EP/R030065/1","University of Edinburgh","Sch of Chemistry","Research Grant","Uhrin","Dusan",NA,"http://orcid.org/0000-0002-0254-4971",NA,NA,NA,NA,"A National Network for Applications of High-Field NMR in the Life and Physical Sciences","30/04/2018","29/04/2021",1368030,NA,"Scotland","Closed","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=EP/R030065/1","EE4B1F01-4FAC-4869-85B5-4C3D3D0989F8","798CB33D-C79E-4578-83F2-72606407192C","2DB7ED73-8E89-457A-A395-FAC12F929C1A","498C10B4-AB21-4F76-9956-D5461B79C862","School of Chemistry","College of Science and Engineering"
"BBSRC","BB/H016384/1","University of Edinburgh","Sch of Engineering","Training Grant",NA,NA,NA,NA,NA,NA,NA,NA,"Biosensors for real-time monitoring of waterborne pathogens and viability determination","30/09/2010","29/09/2014",75281,NA,"Scotland","Closed","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=BB/H016384/1","2C661412-8454-4FA6-B5E2-2F21E4179862","2512EF1C-401B-4222-9869-A770D4C5FAC7","2DB7ED73-8E89-457A-A395-FAC12F929C1A",NA,"School of Engineering","College of Science and Engineering"
"EPSRC","EP/N006321/1","University of Edinburgh","Edinburgh Parallel Computing Centre","Research Grant","Simpson","Alan","David",NA,NA,NA,NA,NA,"ARCHER Outreach: Promoting HPC Diversity, Outreach, Impact and Engagement","31/03/2015","30/03/2018",484734,NA,"Scotland","Closed","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=EP/N006321/1","8BBC1DD1-EB2D-4B74-9F52-BDBF089BA079","798CB33D-C79E-4578-83F2-72606407192C","2DB7ED73-8E89-457A-A395-FAC12F929C1A","A989396C-43A9-4FDA-A24A-58D8A4B97C15","Other","Other"
"NERC","NE/M009602/1","University of Edinburgh","Roslin Institute","Training Grant",NA,NA,NA,NA,NA,NA,NA,NA,"Raptor health as an indicator of ecosystem health - development of novel surveillance tools for conservation","01/11/2015","31/12/2019",85281,NA,"Scotland","Closed","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=NE/M009602/1","34F38D49-1C57-4384-81F9-928BA5F6AA2B","8A03ED41-E67D-4F4A-B5DD-AAFB272B6471","2DB7ED73-8E89-457A-A395-FAC12F929C1A",NA,"Royal (Dick) School of Veterinary Science","College of Medicine & Veterinary Medicine"
"BBSRC","BB/N016742/1","University of Edinburgh","The Roslin Institute","Research Grant","Watson","Michael","Bryan",NA,NA,NA,NA,NA,"Understanding the functional and genomic architecture of the rumen microbiome affecting performance traits in bovines","01/12/2016","30/11/2019",339897,NA,"Scotland","Closed","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=BB/N016742/1","9647458C-6234-499F-9A80-9DCC107BBA14","2512EF1C-401B-4222-9869-A770D4C5FAC7","2DB7ED73-8E89-457A-A395-FAC12F929C1A","4336945C-4EF7-46C4-934C-330B0D9350EB","Royal (Dick) School of Veterinary Science","College of Medicine & Veterinary Medicine"
"NERC","NE/P015840/1","University of Edinburgh","Sch of Geosciences","Research Grant","Naylor","Mark",NA,NA,NA,NA,NA,NA,"Research for Emergency Aftershock Response (GCRF-REAR)","01/11/2016","01/11/2017",160412,NA,"Scotland","Closed","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=NE/P015840/1","2BE55170-26B9-4593-B97E-F144359E314F","8A03ED41-E67D-4F4A-B5DD-AAFB272B6471","2DB7ED73-8E89-457A-A395-FAC12F929C1A","BC4B8B47-4444-4829-9F30-9CD46148AF14","School of Geosciences","College of Science and Engineering"
"NERC","NE/N013786/1","University of Edinburgh","Sch of Geosciences","Research Grant","Tett","Simon","Frederick","http://orcid.org/0000-0001-7526-560X",NA,NA,NA,NA,"ICE-IMPACT: International Consortium for the Exploitation of Infrared Measurements of PolAr ClimaTe","01/02/2016","31/01/2019",72649,NA,"Scotland","Closed","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=NE/N013786/1","A9906017-68DF-4139-867B-DFC7F9D7F9E1","8A03ED41-E67D-4F4A-B5DD-AAFB272B6471","2DB7ED73-8E89-457A-A395-FAC12F929C1A","3316451E-01DB-4ADD-AE44-25A575ED22C1","School of Geosciences","College of Science and Engineering"
"NERC","NE/G004854/1","University of Edinburgh","Sch of Biological Sciences","Research Grant","Pemberton","Josephine",NA,NA,NA,NA,NA,NA,"The ecology of evolution: the role of environmental heterogeneity in evolutionary dynamics.","01/02/2010","30/07/2015",505549,NA,"Scotland","Closed","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=NE/G004854/1","9D6777E9-06AD-4893-A560-30EE1800FAE0","8A03ED41-E67D-4F4A-B5DD-AAFB272B6471","2DB7ED73-8E89-457A-A395-FAC12F929C1A","37CD03D6-6844-4C07-A7AE-DA95205A337B","School of Biological Sciences","College of Science and Engineering"
"NERC","NE/D01185X/1","University of Edinburgh","Sch of Geosciences","Research Grant","Malhi","Yadvinder","Singh","http://orcid.org/0000-0002-3503-4783",NA,NA,NA,NA,"A detailed assessment of ecosystem carbon dynamics along an elevation transect in the Andes","13/12/2006","12/12/2009",196787,NA,"Scotland","Closed","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=NE/D01185X/1","56419FD6-C11C-4A45-88E8-AD8272CD3FAD","8A03ED41-E67D-4F4A-B5DD-AAFB272B6471","2DB7ED73-8E89-457A-A395-FAC12F929C1A","8103EC83-199F-418D-9160-D7BDD919696D","School of Geosciences","College of Science and Engineering"
